"year","eua_price","effective_price","total_emissions","total_shortage","share_priced","n_firms","pct_positive","conc_top5","conc_top10"
2005,22,3.12327628141785,52038802,7387798,0.141967103700812,213,17.3708920187793,0.987660869991302,0.994311566179801
2006,18,2.06516317296675,51087721,5861360,0.114731287387042,213,16.4319248826291,0.986989879481895,0.994085161123016
2007,0.7,0.0675577096776132,48932954,4722569,0.0965110138251617,220,13.6363636363636,0.985575012244395,0.992374277644223
2008,22,2.90870146483047,52047593,6881405,0.132213702946839,225,10.6666666666667,0.995922634985152,0.998128725165864
2009,13,2.67612829495609,45821817,9432697,0.20585602268893,222,9.00900900900901,0.996168328103829,0.998415193448915
2010,14.2814583333333,2.29252246571858,49679832,7974825,0.160524395493125,226,10.6194690265487,0.990919424564175,0.997022505196039
2011,13.2744897959184,1.88124752323695,45550834,6455419,0.141719007823216,227,8.37004405286344,0.986701095622143,0.997189957770363
2012,7.23643835616438,0.861036454970564,42381277,5042788,0.118986221203292,228,8.7719298245614,0.990013064201787,0.997190839670436
2013,4.3730890052356,1.45535937924256,43769142,14566324,0.332798938576406,225,44.4444444444444,0.847691565833631,0.912503456603052
2014,5.91232323232323,1.91556786570631,42736317,13846387,0.323995794958185,223,49.7757847533632,0.8208113784484,0.896765271691453
2015,7.6189756097561,2.66978863774081,42858661,15018235,0.350413070534331,219,52.9680365296804,0.785441498285251,0.868696554555179
2016,5.24753846153846,1.73586982233382,42214507,13964431,0.330796969866307,217,55.2995391705069,0.777407901546436,0.850836027619027
2017,5.75731343283582,1.99739994042938,42359860,14696018,0.346932638587569,216,56.4814814814815,0.770055534771392,0.848251750916473
2018,15.4770935960591,5.62265685007989,42679797,15505098,0.363288935043435,215,58.6046511627907,0.730483612551175,0.826262046199256
2019,24.750046728972,9.56431337755905,42928494,16589123,0.386436174537127,212,58.9622641509434,0.743652633113878,0.839349433963447
2020,24.3380465116279,8.92484999777757,39918165,14638136,0.366703629788594,212,55.6603773584906,0.754882178987817,0.849101279015306
2021,53.7397413793103,26.3303618588643,32696885,16020189,0.489960710324546,209,66.0287081339713,0.687557993229668,0.768998917553345
2022,80.2354910714286,39.3903336356512,31526881,15477619,0.490934038162545,208,62.0192307692308,0.728425024546734,0.813543736927495
