spec,term,estimate,se,tval,pval
col1,treat_p1,0.0149860495680735,0.00738361424159499,2.0296360397122,0.0437317223179186
col1,treat_p2,0.0347360970021233,0.0136986512093017,2.53573118049292,0.0119935741389702
col1,treat_p3,0.0555326815046227,0.0188697446764204,2.94294821985675,0.00363927957014984
col2,treat_p1,0.014986049568242,0.00738361424157345,2.02963603974094,0.0437317223149666
col2,treat_p2,0.0347360970022522,0.0136986512093117,2.53573118050048,0.0119935741387197
col2,treat_p3,0.0555326815048353,0.0188697446764316,2.94294821986626,0.00363927957004278
col3,treat_p1,0.000531866846256492,0.0083836595750971,0.0634408925472539,0.949487419148962
col3,treat_p2,-0.0174757516586537,0.0121000615184591,-1.44426965367025,0.150440975073962
col3,treat_p3,-0.00349622066867769,0.0160505936130584,-0.21782500715944,0.827817797586141
col4,treat_p1,0.0161845724685121,0.00734152686354108,2.20452404102567,0.0286394491045112
col4,treat_p2,0.0372797505219205,0.0141213637565032,2.63995398495081,0.00895249158814732
col4,treat_p3,0.0622176538902975,0.0184123272678408,3.3791303502935,0.000875683226734064
col5,treat_p1,-0.00343628127463467,0.00891450412792583,-0.385470826567916,0.700354103762187
col5,treat_p2,-0.0193675782958101,0.0124044910281755,-1.5613359912808,0.1202408135626
col5,treat_p3,0.00240546570118607,0.0147554118403679,0.163022606702524,0.870687668525548
col6,treat_p1,0.0148129838728283,0.00740718965230328,1.99981161117189,0.0468874071583557
col6,treat_p2,0.0348820599518663,0.0136369296790269,2.55791155141862,0.0112782479236723
col6,treat_p3,0.0548971783337929,0.0190618546710035,2.87994947403,0.00441512805665597
