metric,carbon_phase_iv_annual,china_2002_2012_LR,ratio_china_over_carbon,china_annualized,ratio_annualized
N buyers,15442,1335,0.0864525320554332,133.5,0.00864525320554332
"p50 (median, abs)",0,0.00011396940583742,,1.1396940583742e-05,
p90 (abs),0,0.00250993268882794,,0.000250993268882794,
p95 (abs),0.000307175442605694,0.00447734849650878,14.5758673236654,0.000447734849650878,1.45758673236654
p99 (abs),0.0690011681763434,0.0113297502314808,0.164196498855292,0.00113297502314808,0.0164196498855292
mean (abs),0.00357889810366979,0.0014892764131084,0.416127078773575,0.00014892764131084,0.0416127078773575
