panel,spec,phase,estimate,se,tval,pval,ci_lo,ci_hi
Share,A: vs unreg in ETS sellers,Phase 1 (2005-08),0.348830687028245,0.0287122443608027,12.149196093652,1.55419990282129e-25,0.292554688081071,0.405106685975418
Share,A: vs unreg in ETS sellers,Phase 2 (2009-12),0.270123300569779,0.0509695855823102,5.29969583789454,3.18126785280838e-07,0.170222912828451,0.370023688311107
Share,A: vs unreg in ETS sellers,Phase 3 (2013-19),0.271069587947759,0.0308248722145173,8.79385925953964,8.43512417739219e-16,0.210652838407305,0.331486337488213
Prob,A: vs unreg in ETS sellers,Phase 1 (2005-08),0.631836614087105,0.0509460227782803,12.4020792915846,2.7103279851006e-26,0.531982409441675,0.731690818732534
Prob,A: vs unreg in ETS sellers,Phase 2 (2009-12),0.577025632253657,0.0751042356204629,7.68299720364162,7.90704405657713e-13,0.42982133043755,0.724229934069765
Prob,A: vs unreg in ETS sellers,Phase 3 (2013-19),0.567052128318784,0.0500908513443519,11.3204729626286,4.59697812505864e-23,0.468874059683854,0.665230196953714
Share,B: vs non-ETS in reg NACE,Phase 1 (2005-08),-4.7912058665554,2.99857433958725,-1.59782794219966,0.110116259132214,-10.6684115721464,1.08599983903561
Share,B: vs non-ETS in reg NACE,Phase 2 (2009-12),-4.74439240849642,2.99831902809381,-1.58235076522617,0.113604535010025,-10.6210977035603,1.13231288656744
Share,B: vs non-ETS in reg NACE,Phase 3 (2013-19),-4.76282638234943,2.99828584414822,-1.58851644903873,0.112204610555099,-10.6394666368799,1.11381387218108
Prob,B: vs non-ETS in reg NACE,Phase 1 (2005-08),-2.88660764417455,3.68156669025322,-0.784070448001582,0.433019338391322,-10.1024783570709,4.32926306872177
Prob,B: vs non-ETS in reg NACE,Phase 2 (2009-12),-2.82919480714691,3.68145724422929,-0.768498618741718,0.442211106087469,-10.0448510058363,4.38646139154251
Prob,B: vs non-ETS in reg NACE,Phase 3 (2013-19),-2.84325069620672,3.68111434197194,-0.772388584562038,0.439904525186042,-10.0582348064717,4.37173341405828
Share,C: vs other 3 cells (full),Phase 1 (2005-08),0.330499808016842,0.130771536019944,2.52730692072346,0.0115019320071106,0.0741875974177514,0.586812018615932
Share,C: vs other 3 cells (full),Phase 2 (2009-12),0.375192671802947,0.127183680983452,2.95000639155714,0.00318144695691738,0.125912657075382,0.624472686530513
Share,C: vs other 3 cells (full),Phase 3 (2013-19),0.358026518054135,0.126727204505372,2.82517490582662,0.00473027804468935,0.109641197223606,0.606411838884664
Prob,C: vs other 3 cells (full),Phase 1 (2005-08),0.787188725564086,0.162300578421582,4.85019051207159,1.24293678869358e-06,0.469079591857786,1.10529785927039
Prob,C: vs other 3 cells (full),Phase 2 (2009-12),0.842086617254065,0.162250217600528,5.19004923202843,2.12344837150477e-07,0.52407619075703,1.1600970437511
Prob,C: vs other 3 cells (full),Phase 3 (2013-19),0.829154706770025,0.162173776345613,5.11275451219061,3.20495814542076e-07,0.511294105132623,1.14701530840743
Share,D: triple diff,Phase 1 (2005-08),0.357747430320547,0.137684311011883,2.59831659606934,0.00937525020101927,0.0878861807372569,0.627608679903836
Share,D: triple diff,Phase 2 (2009-12),0.365889128106125,0.131009465739548,2.79284497529,0.00522975996755949,0.10911057525661,0.62266768095564
Share,D: triple diff,Phase 3 (2013-19),0.343984708129384,0.130349467429155,2.63894218299234,0.00832312389086516,0.0884997519682397,0.599469664290529
Prob,D: triple diff,Phase 1 (2005-08),0.811366465549215,0.163864747300157,4.95144000718474,7.42813412732006e-07,0.490191560840907,1.13254137025752
Prob,D: triple diff,Phase 2 (2009-12),0.804609856437018,0.162150965052243,4.96210340886831,7.03208944335979e-07,0.486793964934623,1.12242574793941
Prob,D: triple diff,Phase 3 (2013-19),0.813373312507089,0.163702770538062,4.96859833119303,6.80092021516984e-07,0.492515882252488,1.13423074276169
