spec,end_year,n,psi,se,t_stat,p_value,ci_lo,ci_hi,f_stat,r2,source,horizon_yrs
China-only 5-yr,2007,2532,-1.18003073010324,0.217133767428473,-5.43457954089043,6.0173906317432e-08,-1.60580878678358,-0.754252673422904,29.5346547862649,0.0115390720461768,China-only,5
Non-China 5-yr,2007,4907,-1.14900716273344,0.0942153875930723,-12.1955361229966,1.00637298824737e-33,-1.33371150691749,-0.964302818549384,148.731101327315,0.0294299594389286,Non-China,5
China-only 10-yr,2012,2523,-1.08561111356163,0.198129317993351,-5.47930576129103,4.69328499226675e-08,-1.47412396962464,-0.697098257498614,30.022791625717,0.0117689233213726,China-only,10
Non-China 10-yr,2012,4779,-1.33759028119418,0.095681894938203,-13.9795546697531,1.48378605295346e-43,-1.52517087697246,-1.15000968541591,195.427948764617,0.0393023188627943,Non-China,10
China-only 15-yr,2017,2501,0.0952873061757311,0.192004869627517,0.496275466140964,0.61974371963039,-0.28121767791923,0.471792290270692,0.246289338293427,9.85454452184602e-05,China-only,15
Non-China 15-yr,2017,4751,-0.426797227888076,0.0906649769869563,-4.70741009452281,2.58023211903971e-06,-0.604542618728709,-0.249051837047444,22.1597097980153,0.00464451226658967,Non-China,15
China-only 20-yr,2022,2527,-0.984562589260753,0.17697023365194,-5.56343611546089,2.92361590650822e-08,-1.33158421782586,-0.637540960695646,30.9518214108144,0.0121097045537149,China-only,20
Non-China 20-yr,2022,4715,-1.89509009217806,0.100894588347608,-18.782871541623,5.83008008692831e-76,-2.09289064931766,-1.69728953503847,352.796263349111,0.0696428053969682,Non-China,20
