"window","n_buyers","p10","p25","p50","p75","p90","p95","mean"
"2005-2019 (pre-shock)",612,0.118389889874592,0.159674311868972,0.239616493522581,0.389585666883113,0.669990729013424,0.888906950113186,0.32583922029924
"2019-2022 (Phase IV / pandemic)",488,0.103340258129491,0.143245822066506,0.219630047125535,0.324376289437467,0.475500106934052,0.683865595389747,0.285678621413364
"2005-2022 (pooled)",620,0.133474848752237,0.169655536243032,0.249477169419715,0.399130951834185,0.656980408297738,0.851954923748224,0.336423589046419
