spec,term,estimate,se,tval,pval
col1,treat_p1,0.0331053679254093,0.0203237599135033,1.62889977377728,0.103350383148827
col1,treat_p2,0.0765958827527449,0.0187839137664767,4.07773820221877,4.56562941993089e-05
col1,treat_p3,0.0689312970499152,0.0151259021446013,4.55716931069252,5.21620239518715e-06
col2,treat_p1,0.212560639230041,0.101177217481733,2.10087453006323,0.0356647789646034
col2,treat_p2,0.219631942452068,0.104156786959959,2.10866664441657,0.034986078194775
col2,treat_p3,0.197453343881136,0.103930282165656,1.89986344467355,0.0574657727221228
col3,treat_p1,0.322970032821779,0.117666354492162,2.74479509640364,0.00606040767005507
col3,treat_p2,0.369151543484499,0.115380982696013,3.19941410498366,0.00137927376332485
col3,treat_p3,0.35493828778761,0.114779496433742,3.09234923323175,0.00198859204298771
col4,treat_p1,0.328541882665075,0.00960682115842633,34.1988132439526,5.42968990657618e-249
col4,treat_p2,0.339418835553422,0.00836966318028664,40.5534641289828,0
col4,treat_p3,0.31542500786718,0.00874082117750333,36.0864272888919,4.16675086817058e-276
col5,treat_p1,0.330499808016842,0.130771536019944,2.52730692072346,0.0115019320071106
col5,treat_p2,0.375192671802947,0.127183680983452,2.95000639155714,0.00318144695691738
col5,treat_p3,0.358026518054135,0.126727204505372,2.82517490582662,0.00473027804468935
col6,treat_p1,0.214270936282457,0.100576220168069,2.13043337604452,0.0331483229989576
col6,treat_p2,0.220784613175208,0.103601394179257,2.13109693092734,0.0330936223732353
col6,treat_p3,0.197708481349746,0.1033715489271,1.91260055016855,0.0558138351207653
