spec,n,beta,se,t_stat,p_value,ci_lo,ci_hi,f_stat,r2
Version A:  domestic B2B sales (level),184,-1.19361671802452,1.23987956600243,-0.962687627696717,0.336981617745398,-3.64000334751807,1.25276991146903,0.926767468520336,0.00506633053951397
Version A2: Belgian-seller share of expenditure,183,-0.102675594015875,0.0932347082981424,-1.10125934740465,0.272246123838266,-0.28664231526801,0.0812911272362595,1.21277215024611,0.00665580209298449
Version B:  China share of Belgian imports,209,0.146261928089634,0.0381474577052353,3.8341199358499,0.000167199953844266,0.0710545817495969,0.221469274429671,14.7004756824817,0.0663078220162939
