"window","n_firm_years","n_distinct_firms","pool_median_abs","pool_mean_abs","n_buyers","cross_firm_median_within_firm_median_abs","cross_firm_median_within_firm_mean_abs"
"2005-2019 (pre-shock)",145995,15475,0.138819240990186,0.227041264308613,13386,0.146803616631732,0.192046539136705
"2019-2022 (Phase IV / pandemic)",34344,9998,0.159665618590155,0.245059765551093,9038,0.167499610106129,0.186937341330089
"2005-2022 (pooled)",171523,16277,0.143604719100439,0.231307943816247,14103,0.152748410470445,0.200950344397892
