"buyer_nace2d","n_treated_pairs","p50","p90","p95","p99","mean","sales_wmean"
"23",1340,0.0137277461534702,0.0980565373494214,0.120315433235367,0.120315433235367,0.0301490368582892,0.0235578777806916
"17",54,0.0011529570054521,0.0230813672334994,0.0234364017036401,0.0234364017036401,0.00610977856505654,0.00530836444316959
"19",15,0.000680712858677472,0.0163741730520632,0.0307547883354417,0.0520217361800001,0.00637246856740744,0.00956520480208308
"32",8,0.00791734204560087,0.00937955882250661,0.00937955882250661,0.00937955882250661,0.00665882297334851,0.00703455717465957
"22",166,0.000774870355452502,0.00594157118558841,0.00737364306928551,0.0231249885237694,0.00223907700649665,0.00188201086102527
"20",778,0.000673078760903628,0.00587016640932149,0.0107245852603821,0.027903959206641,0.00242515940879641,0.00271415358822816
"18",42,2.42005113510317e-05,0.00567512016177212,0.00928634031598732,0.0221219084286194,0.00208541514293175,0.00215330515302315
"13",283,0.000592593424681326,0.00358068444391432,0.00377552499721953,0.0059100223860261,0.00105928279929753,0.00103586333249047
"25",185,0.00018546014223302,0.00233289185601344,0.00342162363359359,0.0038059665793904,0.00091098565859906,0.000299637268111827
"28",88,0.000111451447066127,0.00233021884799589,0.00281761605654333,0.00296698690855439,0.000913985393792081,0.000776865013973834
"24",87,3.59582478071935e-05,0.00183742738103939,0.00283437876350982,0.00481091328865322,0.000727557375605987,0.000403393833131594
"27",25,0,0.00173379088124659,0.00194106388083219,0.00337082631171156,0.000379631705505787,7.96136979588191e-05
"21",14,0.000211655571538928,0.000618559432735146,0.000618914400680602,0.000618914400680602,0.000264998369991115,0.00029721408163995
"11",177,0,0.000547608562576395,0.00135398850778211,0.00364150248419925,0.000195976692637799,0.000154936483006783
"29",98,0,7.97089667942999e-05,7.97089667942999e-05,9.05545039448333e-05,2.42453636689175e-05,2.84746323916915e-05
"16",150,0,0,0,0,0,0
"31",78,0,0,0,0,0,0
"33",9,0,0,0,0,0,0
