spec,term,estimate,se,tval,pval
col1,treat_p1,0.0294023122137855,0.0249295868473254,1.1794143398305,0.238247609523161
col1,treat_p2,0.08033503507906,0.0210503156714162,3.8163339843946,0.000135867197856061
col1,treat_p3,0.0781488649796361,0.0183053235388362,4.26918785750152,1.97112598559014e-05
col2,treat_p1,0.268311912344434,0.294563766212245,0.910878876226431,0.362370450428059
col2,treat_p2,0.278438298296059,0.29868206194586,0.932223035029569,0.351232809134781
col2,treat_p3,0.2761498616175,0.299397264617941,0.922352653989318,0.356356063155751
col3,treat_p1,0.746623389488258,0.204148825191374,3.65725048277087,0.000255605618486518
col3,treat_p2,0.801323631314514,0.206139231680266,3.88729318908791,0.000101703694777814
col3,treat_p3,0.790310422097441,0.206405352084531,3.82892407641532,0.000129106912620679
col4,treat_p1,0.487690758807327,0.112773127693277,4.32452986613762,1.53615853335805e-05
col4,treat_p2,0.503105555806517,0.115955110688357,4.33879587385047,1.43985283914686e-05
col4,treat_p3,0.497552984939334,0.116677489395012,4.26434428371071,2.01432953030447e-05
col5,treat_p1,0.787188725564086,0.162300578421582,4.85019051207159,1.24293678869358e-06
col5,treat_p2,0.842086617254065,0.162250217600528,5.19004923202843,2.12344837150477e-07
col5,treat_p3,0.829154706770025,0.162173776345613,5.11275451219061,3.20495814542076e-07
col6,treat_p1,0.265733559895141,0.294860317333586,0.901218455905368,0.367483304631097
col6,treat_p2,0.278894427229272,0.298953757933064,0.932901560286515,0.350882341375052
col6,treat_p3,0.274203921752476,0.299634790007117,0.915127117735438,0.360136210377806
