"spec","n_obs","beta","se","t","p"
"A: 2005-2022 (full)",3608,-0.0358941697635156,0.00902315119629851,-3.97800823488807,7.08594208344585e-05
"B: 2013-2022 (Phase 3 onward)",1985,-0.0310570458643561,0.0101685369934772,-3.05422952036052,0.00228638523918535
"C: 2017-2022 (post-base)",1174,-0.0205633375762006,0.0102899197063513,-1.99839631046958,0.0459040057560343
"Full panel, 2d x year FE",3564,-0.040448490013199,0.0119647835159715,-3.38062865568818,0.000730984137130229
