"phase5","n_firm_years","n_distinct_firms","p50","p90","p99","mean"
"I",642,224,0,5.90000408924872e-05,0.00398111736765163,0.000179254966280751
"II",1122,240,0,0,0.00316625022564908,0.00136304024602066
"III post-MSR",635,217,0.000277328082554543,0.0112491503871001,0.219983723859284,0.0112825623465004
"III pre-MSR",1095,232,8.69877537914085e-06,0.00247497851245623,0.0755860637415837,0.00468826873190118
"IV",414,211,0.00142151654952977,0.0225558776815502,0.42502473801363,0.0526763048103094
