"phase5","eua_min","eua_max","sum_emissions","sum_shortage","sum_carbon_cost","pct_emissions_priced","eff_eur_per_tonne_emitted"
"I",0.7,22,150515844,17923881,270295274.3,11.9083018263513,1.79579283560341
"II",7.23643835616438,22,231329614,33549120,480998138.102208,14.5027346131309,2.07927610211725
"III pre-MSR",4.3730890052356,7.6189756097561,213656159,71822269,416287789.912964,33.6158196122958,1.9484006071314
"III post-MSR",15.4770935960591,24.750046728972,124981220,46466276,1000236976.11439,37.1786065138426,8.00309819438783
"IV",53.7397413793103,80.2354910714286,63973352,31453736,2099709706.72418,49.1669343823034,32.8216302738705
