"spec","n_obs","beta","se","t","p"
"A: 2005-2022 (full)",80932,-0.0255556777846026,0.0169826461870212,-1.50481129402161,0.132376501664515
"B: 2013-2022 (Phase 3 onward)",43448,-0.0247997820267004,0.0168658365313974,-1.4704151780751,0.141456584563959
"C: 2017-2022 (post-base)",25906,-0.0121172313304713,0.0117599785486208,-1.03037869332614,0.302841890678339
