"phase5","n_firm_years","n_distinct_firms","pct_pos_shortage","p25","p50","p75","p90","p99","mean","sales_wmean"
"I",399,139,15.5388471177945,0,0,0,4.68899683186076e-05,0.0032778419188958,0.000172216268889577,3.54432999768277e-05
"II",648,143,9.25925925925926,0,0,0,0,0.00132857993848001,6.55670500149314e-05,2.12963412091532e-05
"III pre-MSR",704,155,55.6818181818182,0,2.84373934015723e-05,0.000769598885822454,0.00264647767443844,0.0219005810319062,0.00300873551904909,0.000362417730026139
"III post-MSR",391,133,65.7289002557545,0,0.000562001170199514,0.00446959021140588,0.011826088708032,0.0611935947342824,0.00468845394241901,0.00112785210841969
"IV",249,127,78.714859437751,7.97089667942999e-05,0.00275847884558823,0.0109841573598391,0.0234632252197852,0.158229525228313,0.0182822813706002,0.00342931326118043
