"phase5","n_firm_years","n_distinct_firms","p50","p90","p99","mean"
"I",505,177,0,0.0001585221801545,0.00462594589666665,0.000227884531390578
"II",849,188,0,9.48154648858429e-05,0.00457022713368577,0.00180133235537429
"III post-MSR",511,175,0.000923313096676164,0.0139570335519803,0.239594756403551,0.0140659711917859
"III pre-MSR",917,202,0.000106230538810086,0.00301058009335105,0.0866604119625429,0.00560531298933159
"IV",321,166,0.00340611174531937,0.0259761833568564,0.59520427299452,0.0680584392599769
