"window","n_buyers","p10","p25","p50","p75","p90","p95","mean"
"2005-2019 (pre-shock)",13386,0.0685760682316321,0.0988145743379195,0.150233466028177,0.237247662235248,0.391418487041331,0.554194553496948,0.211138378669802
"2019-2022 (Phase IV / pandemic)",9038,0.0438179685260987,0.075529186396025,0.126904833567866,0.213295851283908,0.355194612643544,0.515435271089052,0.187197254417882
"2005-2022 (pooled)",14103,0.0717649364426159,0.102912416377404,0.154114023651284,0.244631303477587,0.406466976535157,0.569325695242756,0.217893917074403
