"window","n_cells","p10","p25","p50","p75","p90","p95","mean"
"2005-2019 (pre-shock)",79069,0.295815440510098,0.504966886353777,0.839237881112839,1.29378176538838,1.84294071391788,2.26003828101646,0.9832263080464
"2019-2022 (Phase IV / pandemic)",39901,0.553172086717028,1.46778701293445,2.2107878642892,2.63823375367047,3.2609337150301,3.75647102068931,2.09743048936882
"2005-2022 (pooled)",85198,0.380913260332699,0.68976605967145,1.19414455667436,1.68970314499676,2.25272679337051,2.65700834942032,1.27180453335966
