scope,n,mean,sd,p10,p25,p50,p75,p90,p99
all_HS6_unweighted,5033,0.0441734879144607,0.0925471053416367,-0.00511961917007179,7.9779961288397e-05,0.015724472077659,0.0712449667469766,0.157376262603889,0.343824558576576
trimmed_unweighted,4982,0.0444981481461348,0.091894014575642,-0.00500129286861396,0.000102368894762149,0.0160703855240929,0.0719624908789168,0.157379265044051,0.343060772523438
trimmed_weighted_2002,4982,0.0497698341949335,0.0885201203503943,-8.42033052726904e-06,0.000179814908017358,0.0106939129195871,0.0668780870762491,0.185629610989656,0.375561599512973
