"phase5","n_firm_years","n_distinct_firms","pct_pos_shortage","p25","p50","p75","p90","p99","mean","sales_wmean"
"I",505,177,19.8019801980198,0,0,0,0.0001585221801545,0.00462594589666665,0.000227884531390578,0.000843301034847005
"II",849,188,12.4852767962309,0,0,0,9.48154648858429e-05,0.00457022713368577,0.00180133235537429,0.000782979354007791
"III pre-MSR",917,202,62.1592148309706,0,0.000106230538810086,0.000858522825411221,0.00301058009335105,0.0866604119625429,0.00560531298933159,0.000906991576247301
"III post-MSR",511,175,72.0156555772994,0,0.000923313096676164,0.00518483160647096,0.0139570335519803,0.239594756403551,0.0140659711917859,0.00309295824578428
"IV",319,165,83.3855799373041,0.00074074439370165,0.00341183163878486,0.0113786704132747,0.0260024541073452,0.599210089327052,0.0684844403596043,0.00712943222889687
