"phase5","n_treated_pairs","p50","p75","p90","p95","p99","mean","sales_wmean"
"I",7237,0,0,5.12754584921274e-09,1.44020001599544e-06,0.000189935595692165,5.88752700147753e-06,2.64379386927876e-05
"II",12035,0,0,0,0,7.97547595189979e-06,9.9279194126334e-07,1.21730624995852e-05
"III pre-MSR",10889,0,3.02744562616057e-07,1.2215072080175e-05,6.01032706705868e-05,0.000466285915558421,2.69922092593959e-05,0.000256503143800979
"III post-MSR",5701,1.66164352698322e-07,2.58258131607161e-05,0.000607465913313017,0.00169395108407522,0.00573757712881701,0.000318411988591615,0.0011375251586498
"IV",3541,1.63223713782572e-05,0.000937060052156498,0.0115872966444468,0.0590583543708552,0.390511737824506,0.0156072704086046,0.0674400596700814
