hs6,carbon_intensity
250900,0.00253976849538409
251400,0.00253976849538409
251511,0.00253976849538409
251512,0.00253976849538409
251520,0.00253976849538409
251611,0.00253976849538409
251612,0.00253976849538409
251620,0.00253976849538409
251621,0.00253976849538409
251622,0.00253976849538409
251810,0.00253976849538409
252010,0.00253976849538409
252100,0.00253976849538409
250510,0.00016193933628473
250590,0.00016193933628473
250700,0.00016193933628473
250810,0.00016193933628473
250820,0.00016193933628473
250830,0.00016193933628473
251720,0.00016193933628473
251741,0.00016193933628473
251749,0.00016193933628473
021011,0.00052047603320438
021012,0.00052047603320438
021019,0.00052047603320438
021020,0.00052047603320438
021090,0.00052047603320438
021091,0.00052047603320438
021092,0.00052047603320438
021093,0.00052047603320438
021099,0.00052047603320438
230110,0.00052047603320438
071010,0.000240532047292371
071210,0.000240532047292371
110510,0.000240532047292371
110520,0.000240532047292371
200410,0.000240532047292371
200520,0.000240532047292371
071021,0.000116142843224117
071022,0.000116142843224117
071029,0.000116142843224117
071030,0.000116142843224117
071040,0.000116142843224117
071080,0.000116142843224117
071090,0.000116142843224117
071110,0.000116142843224117
071120,0.000116142843224117
071130,0.000116142843224117
071140,0.000116142843224117
071151,0.000116142843224117
071159,0.000116142843224117
071190,0.000116142843224117
071220,0.000116142843224117
071230,0.000116142843224117
071231,0.000116142843224117
071232,0.000116142843224117
071233,0.000116142843224117
071239,0.000116142843224117
071290,0.000116142843224117
080620,0.000116142843224117
081110,0.000116142843224117
081120,0.000116142843224117
081190,0.000116142843224117
081210,0.000116142843224117
081220,0.000116142843224117
081290,0.000116142843224117
081400,0.000116142843224117
200110,0.000116142843224117
200120,0.000116142843224117
200190,0.000116142843224117
200290,0.000116142843224117
200791,0.000116142843224117
200799,0.000116142843224117
200811,0.000116142843224117
200819,0.000116142843224117
230800,0.000116142843224117
230810,0.000116142843224117
230890,0.000116142843224117
120810,7.40463026674151e-05
120890,7.40463026674151e-05
140420,7.40463026674151e-05
150300,7.40463026674151e-05
150410,7.40463026674151e-05
150420,7.40463026674151e-05
150430,7.40463026674151e-05
150600,7.40463026674151e-05
150710,7.40463026674151e-05
150790,7.40463026674151e-05
150810,7.40463026674151e-05
150890,7.40463026674151e-05
150910,7.40463026674151e-05
150990,7.40463026674151e-05
151000,7.40463026674151e-05
151110,7.40463026674151e-05
151190,7.40463026674151e-05
151211,7.40463026674151e-05
151219,7.40463026674151e-05
151221,7.40463026674151e-05
151229,7.40463026674151e-05
151311,7.40463026674151e-05
151319,7.40463026674151e-05
151321,7.40463026674151e-05
151329,7.40463026674151e-05
151410,7.40463026674151e-05
151411,7.40463026674151e-05
151419,7.40463026674151e-05
151490,7.40463026674151e-05
151491,7.40463026674151e-05
151499,7.40463026674151e-05
151511,7.40463026674151e-05
151519,7.40463026674151e-05
151530,7.40463026674151e-05
151540,7.40463026674151e-05
151550,7.40463026674151e-05
151560,7.40463026674151e-05
151590,7.40463026674151e-05
151610,7.40463026674151e-05
151620,7.40463026674151e-05
152110,7.40463026674151e-05
152200,7.40463026674151e-05
230400,7.40463026674151e-05
230500,7.40463026674151e-05
230610,7.40463026674151e-05
230620,7.40463026674151e-05
230630,7.40463026674151e-05
230640,7.40463026674151e-05
230641,7.40463026674151e-05
230649,7.40463026674151e-05
230650,7.40463026674151e-05
230660,7.40463026674151e-05
230670,7.40463026674151e-05
230690,7.40463026674151e-05
040110,0.000104394151359166
040120,0.000104394151359166
040130,0.000104394151359166
040140,0.000104394151359166
040150,0.000104394151359166
040210,0.000104394151359166
040221,0.000104394151359166
040229,0.000104394151359166
040291,0.000104394151359166
040299,0.000104394151359166
040310,0.000104394151359166
040390,0.000104394151359166
040410,0.000104394151359166
040490,0.000104394151359166
040500,0.000104394151359166
040510,0.000104394151359166
040590,0.000104394151359166
040610,0.000104394151359166
040620,0.000104394151359166
040630,0.000104394151359166
040640,0.000104394151359166
040690,0.000104394151359166
170210,0.000104394151359166
170211,0.000104394151359166
170219,0.000104394151359166
350110,0.000104394151359166
110811,0.000192916943139721
110812,0.000192916943139721
110813,0.000192916943139721
110814,0.000192916943139721
110819,0.000192916943139721
110820,0.000192916943139721
110900,0.000192916943139721
151521,0.000192916943139721
151529,0.000192916943139721
170230,0.000192916943139721
170240,0.000192916943139721
170250,0.000192916943139721
170260,0.000192916943139721
170290,0.000192916943139721
190300,0.000192916943139721
230310,0.000192916943139721
350510,0.000192916943139721
190510,6.76207901079576e-05
190520,6.76207901079576e-05
190530,6.76207901079576e-05
190531,6.76207901079576e-05
190532,6.76207901079576e-05
190540,6.76207901079576e-05
190590,6.76207901079576e-05
170111,0.000250934685102268
170112,0.000250934685102268
170113,0.000250934685102268
170114,0.000250934685102268
170191,0.000250934685102268
170199,0.000250934685102268
170220,0.000250934685102268
170310,0.000250934685102268
170390,0.000250934685102268
230320,0.000250934685102268
170410,7.18540545962302e-05
170490,7.18540545962302e-05
180310,7.18540545962302e-05
180320,7.18540545962302e-05
180400,7.18540545962302e-05
180500,7.18540545962302e-05
180610,7.18540545962302e-05
180620,7.18540545962302e-05
180631,7.18540545962302e-05
180632,7.18540545962302e-05
180690,7.18540545962302e-05
200600,7.18540545962302e-05
090112,0.00030618417889528
090121,0.00030618417889528
090122,0.00030618417889528
090140,0.00030618417889528
090210,0.00030618417889528
090230,0.00030618417889528
210110,0.00030618417889528
210111,0.00030618417889528
210112,0.00030618417889528
210120,0.00030618417889528
210130,0.00030618417889528
190220,0.00013854635799128
190230,0.00013854635799128
040811,0.000296156971189152
040819,0.000296156971189152
040891,0.000296156971189152
040899,0.000296156971189152
160300,0.000296156971189152
190190,0.000296156971189152
210210,0.000296156971189152
210220,0.000296156971189152
210230,0.000296156971189152
210410,0.000296156971189152
350210,0.000296156971189152
350211,0.000296156971189152
350219,0.000296156971189152
220300,4.13504467141821e-05
230330,4.13504467141821e-05
110710,0.000135021070032585
110720,0.000135021070032585
220110,4.74707702906322e-05
220190,4.74707702906322e-05
220210,4.74707702906322e-05
220290,4.74707702906322e-05
220291,4.74707702906322e-05
220299,4.74707702906322e-05
500710,0.00011706530946118
500720,0.00011706530946118
500790,0.00011706530946118
511111,0.00011706530946118
511119,0.00011706530946118
511120,0.00011706530946118
511130,0.00011706530946118
511190,0.00011706530946118
511211,0.00011706530946118
511219,0.00011706530946118
511220,0.00011706530946118
511230,0.00011706530946118
511290,0.00011706530946118
511300,0.00011706530946118
520811,0.00011706530946118
520821,0.00011706530946118
520942,0.00011706530946118
520943,0.00011706530946118
521142,0.00011706530946118
521143,0.00011706530946118
530911,0.00011706530946118
530919,0.00011706530946118
530921,0.00011706530946118
530929,0.00011706530946118
531010,0.00011706530946118
531090,0.00011706530946118
531100,0.00011706530946118
540710,0.00011706530946118
540720,0.00011706530946118
540730,0.00011706530946118
540741,0.00011706530946118
540742,0.00011706530946118
540743,0.00011706530946118
540744,0.00011706530946118
540751,0.00011706530946118
540752,0.00011706530946118
540753,0.00011706530946118
540754,0.00011706530946118
540760,0.00011706530946118
540761,0.00011706530946118
540769,0.00011706530946118
540771,0.00011706530946118
540772,0.00011706530946118
540773,0.00011706530946118
540774,0.00011706530946118
540781,0.00011706530946118
540782,0.00011706530946118
540783,0.00011706530946118
540784,0.00011706530946118
540791,0.00011706530946118
540792,0.00011706530946118
540793,0.00011706530946118
540794,0.00011706530946118
540810,0.00011706530946118
540821,0.00011706530946118
540822,0.00011706530946118
540823,0.00011706530946118
540824,0.00011706530946118
540831,0.00011706530946118
540832,0.00011706530946118
540833,0.00011706530946118
540834,0.00011706530946118
551211,0.00011706530946118
551219,0.00011706530946118
551221,0.00011706530946118
551229,0.00011706530946118
551291,0.00011706530946118
551299,0.00011706530946118
551311,0.00011706530946118
551312,0.00011706530946118
551313,0.00011706530946118
551319,0.00011706530946118
551321,0.00011706530946118
551322,0.00011706530946118
551323,0.00011706530946118
551329,0.00011706530946118
551331,0.00011706530946118
551332,0.00011706530946118
551333,0.00011706530946118
551339,0.00011706530946118
551341,0.00011706530946118
551342,0.00011706530946118
551343,0.00011706530946118
551349,0.00011706530946118
551411,0.00011706530946118
551412,0.00011706530946118
551413,0.00011706530946118
551419,0.00011706530946118
551421,0.00011706530946118
551422,0.00011706530946118
551423,0.00011706530946118
551429,0.00011706530946118
551430,0.00011706530946118
551431,0.00011706530946118
551432,0.00011706530946118
551433,0.00011706530946118
551439,0.00011706530946118
551441,0.00011706530946118
551442,0.00011706530946118
551443,0.00011706530946118
551449,0.00011706530946118
551511,0.00011706530946118
551512,0.00011706530946118
551513,0.00011706530946118
551519,0.00011706530946118
551521,0.00011706530946118
551522,0.00011706530946118
551529,0.00011706530946118
551591,0.00011706530946118
551592,0.00011706530946118
551599,0.00011706530946118
551611,0.00011706530946118
551612,0.00011706530946118
551613,0.00011706530946118
551614,0.00011706530946118
551621,0.00011706530946118
551622,0.00011706530946118
551623,0.00011706530946118
551624,0.00011706530946118
551631,0.00011706530946118
551632,0.00011706530946118
551633,0.00011706530946118
551634,0.00011706530946118
551641,0.00011706530946118
551642,0.00011706530946118
551643,0.00011706530946118
551644,0.00011706530946118
551691,0.00011706530946118
551692,0.00011706530946118
551693,0.00011706530946118
551694,0.00011706530946118
580110,0.00011706530946118
580121,0.00011706530946118
580122,0.00011706530946118
580123,0.00011706530946118
580124,0.00011706530946118
580125,0.00011706530946118
580126,0.00011706530946118
580127,0.00011706530946118
580131,0.00011706530946118
580132,0.00011706530946118
580133,0.00011706530946118
580134,0.00011706530946118
580135,0.00011706530946118
580136,0.00011706530946118
580137,0.00011706530946118
580190,0.00011706530946118
580211,0.00011706530946118
580219,0.00011706530946118
580220,0.00011706530946118
580230,0.00011706530946118
580300,0.00011706530946118
580310,0.00011706530946118
580390,0.00011706530946118
701920,0.00011706530946118
701940,0.00011706530946118
701951,0.00011706530946118
701952,0.00011706530946118
701959,0.00011706530946118
580500,0.000220311430274379
630120,0.000220311430274379
630130,0.000220311430274379
630140,0.000220311430274379
630190,0.000220311430274379
630210,0.000220311430274379
630221,0.000220311430274379
630222,0.000220311430274379
630229,0.000220311430274379
630231,0.000220311430274379
630232,0.000220311430274379
630239,0.000220311430274379
630240,0.000220311430274379
630251,0.000220311430274379
630252,0.000220311430274379
630253,0.000220311430274379
630259,0.000220311430274379
630260,0.000220311430274379
630291,0.000220311430274379
630292,0.000220311430274379
