"h","gamma","se","n","t_stat","lo95","hi95","R","R_se","n_R","gamma_lo68","gamma_hi68","gamma_lo90","gamma_hi90","gamma_lo95","gamma_hi95","R_lo68","R_hi68","R_lo90","R_hi90","R_lo95","R_hi95","beta","beta_se","beta_lo68","beta_hi68","beta_lo90","beta_hi90","beta_lo95","beta_hi95"
0,0.045571828047821,0.139116601720314,18492,0.327580083787848,-0.227096711323994,0.318240367419636,0.000971921136214356,0.0144559814729385,138,-0.0935447736724927,0.184688429768135,-0.183274981782095,0.274418637877737,-0.227096711323994,0.318240367419636,-0.0134840603367241,0.0154279026091528,-0.0228081683867694,0.0247520106591982,-0.0273618025507451,0.0293056448231738,0.0341945729862737,0.104894692142738,-0.0707001191564639,0.139089265129011,-0.13835719558853,0.206746341561077,-0.171399023613492,0.23978816958604
1,0.26223118130524,0.240979054218612,18358,1.08819076477638,-0.210087764963239,0.73455012757372,-0.00700920793240307,0.0237689847706612,137,0.0212521270866287,0.503210235523852,-0.134179362884376,0.658641725494857,-0.210087764963239,0.73455012757372,-0.0307781927030643,0.0167597768382582,-0.0461091878801408,0.0320907720153347,-0.0535964180828991,0.0395780022180929,0.19676373875126,0.190326470519926,0.00643726823133459,0.387090209271186,-0.116323305254018,0.509850782756539,-0.176276143467794,0.569803620970315
2,0.271025774646491,0.329220281589528,18224,0.823235352749031,-0.374245977268985,0.916297526561966,0.00112550291065333,0.0300606944902101,136,-0.0581945069430375,0.600246056236019,-0.270541588568283,0.812593137861265,-0.374245977268985,0.916297526561966,-0.0289351915795568,0.0311861974008634,-0.0483243395257423,0.0505753453470489,-0.0577934582901584,0.0600444641114651,0.203362713968502,0.254544905042309,-0.0511821910738061,0.457907619010811,-0.215363654826095,0.6220890827631,-0.295545299914422,0.702270727851427
3,0.106476777659379,0.318358310433247,18090,0.334455781959883,-0.517505510789786,0.730459066108543,0.0171992066599297,0.0349225155798849,135,-0.211881532773868,0.424835088092626,-0.417222643003313,0.63017619832207,-0.517505510789786,0.730459066108543,-0.0177233089199552,0.0521217222398146,-0.0402483314689809,0.0746467447888403,-0.0512489238766447,0.0856473371965041,0.0798942702319564,0.240093253503939,-0.160198983271983,0.319987523735896,-0.315059131782024,0.474847672245937,-0.390688506635765,0.550477047099678
4,0.173363747201064,0.323758998656664,17956,0.535471594366123,-0.461203890165998,0.807931384568126,-0.016494060272611,0.0395873600567314,134,-0.150395251455601,0.497122745857728,-0.359219805589149,0.705947299991276,-0.461203890165998,0.807931384568126,-0.0560814203293424,0.0230932997841203,-0.0816152675659342,0.0486271470207121,-0.0940852859838045,0.0610971654385825,0.130082543553443,0.246085143334312,-0.11600259978087,0.376167686887755,-0.274727517231501,0.534892604338386,-0.352244337381809,0.612409424488695
5,-0.0829400865915021,0.446080314725822,17822,-0.185930837684421,-0.957257503454112,0.791377330271108,-0.0269631812552465,0.0422229897197787,133,-0.529020401317324,0.363140228134319,-0.816742204315479,0.650862031132474,-0.957257503454112,0.791377330271108,-0.0691861709750252,0.0152598084645322,-0.0964199993442825,0.0424936368337894,-0.109720241106013,0.0557938785955197,-0.0622336422726976,0.335240920226773,-0.397474562499471,0.273007277954075,-0.613704956045739,0.489237671500344,-0.719305845917173,0.594838561371777
6,0.00150719185459988,0.493553404999368,17688,0.0030537563702996,-0.965857481944162,0.968871865653362,-0.0220935132888528,0.0470737634164028,132,-0.492046213144769,0.495060596853968,-0.810388159369361,0.813402543078561,-0.965857481944162,0.968871865653362,-0.0691672767052556,0.0249802501275501,-0.0995298541088354,0.0553428275311299,-0.114358089585002,0.0701710630072968,0.0011309131997591,0.370335266900943,-0.369204353701184,0.371466180100702,-0.608070600852292,0.61033242725181,-0.724726209926089,0.726988036325607
7,0.291435493969939,0.553518200289449,17554,0.526514744804308,-0.79346017859738,1.37633116653726,-0.027577204321902,0.047034625248036,131,-0.26208270631951,0.844953694259388,-0.619101945506204,1.20197293344608,-0.79346017859738,1.37633116653726,-0.074611829569938,0.0194574209261341,-0.104949162854921,0.0497947542111173,-0.119765069808053,0.0646106611642487,0.218677035709177,0.420544428069533,-0.201867392360356,0.63922146377871,-0.473118548465205,0.910472619883558,-0.605590043307108,1.04294411472546
8,0.0694403478022387,0.632113206641434,17420,0.109854290454065,-1.16950153721497,1.30838223281945,-0.0197555846316944,0.0512518958838361,130,-0.562672858839196,0.701553554443673,-0.970385877122921,1.1092665727274,-1.16950153721497,1.30838223281945,-0.0710074805155305,0.0314963112521417,-0.104064953360605,0.064553784097216,-0.120209300564013,0.0806981313006243,0.0521041867933015,0.4745635179074,-0.422459331114099,0.526667704700702,-0.728552800164372,0.832761173750975,-0.878040308305203,0.982248681891806
9,0.477198270336089,0.773974007416183,17286,0.616555938266139,-1.03979078419963,1.99418732487181,-0.0450059924589148,0.0506973524503667,129,-0.296775737080095,1.25117227775227,-0.795988971863533,1.75038551253571,-1.03979078419963,1.99418732487181,-0.0957033449092815,0.00569135999145188,-0.128403137239768,0.0383911523219384,-0.144372803261634,0.0543608183438039,0.358063123270105,0.590723755118557,-0.232660631848452,0.948786878388662,-0.613677453899922,1.32980370044013,-0.799755436762267,1.51588168330248
10,0.548617461760241,0.796537286112904,17152,0.688753020511431,-1.01259561902105,2.10983054254153,-0.0533276886645981,0.0535357934447787,128,-0.247919824352663,1.34515474787314,-0.761686373895486,1.85892129741597,-1.01259561902105,2.10983054254153,-0.106863482109377,0.000208104780180608,-0.141394068881259,0.0347386915520629,-0.158257843816364,0.0516024664871682,0.411652124598099,0.610463478920857,-0.198811354322758,1.02211560351896,-0.59256029822671,1.41586454742291,-0.78485629408678,1.60816054328298
11,0.00933755879295652,0.827116372244435,17018,0.0112892926633993,-1.61181053080614,1.63048564839205,-0.0549986916169027,0.056678824052677,127,-0.817778813451479,0.836453931037392,-1.35126887354914,1.36994399113505,-1.61181053080614,1.63048564839205,-0.11167751566958,0.00168013243577422,-0.148235357183556,0.0382379739497509,-0.16608918676015,0.0560918035263441,0.00700638638687746,0.62062587049259,-0.613619484105713,0.627632256879468,-1.01392317057343,1.02793594334719,-1.2094203197786,1.22343309255235
12,0.0164689549508221,0.86004795994009,16884,0.0191488797345317,-1.66922504653175,1.7021629564334,-0.0416072128325931,0.0609066073683705,126,-0.843579004989268,0.876516914890912,-1.39830993915063,1.43124784905227,-1.66922504653175,1.7021629564334,-0.102513820200964,0.0192993945357774,-0.141798581953563,0.0585841562883764,-0.160984163274599,0.0777697376094131,0.0123573906555295,0.645343088072428,-0.632985697416898,0.657700478727957,-1.04923198922361,1.07394677053467,-1.25251506196643,1.27722984327749
13,0.199023505749775,0.915454651023618,16750,0.217404003057099,-1.59526761025652,1.99331462175607,-0.0200847185032044,0.0678702612440123,125,-0.716431145273844,1.11447815677339,-1.30689939518408,1.70494640668363,-1.59526761025652,1.99331462175607,-0.0879549797472167,0.047785542740808,-0.131731298249605,0.0915618612431959,-0.153110430541469,0.11294099353506,0.149336203634476,0.688384598648412,-0.539048395013936,0.837720802282888,-0.983056461142161,1.28172886841111,-1.19989760971641,1.49857001698536
14,0.240282616880283,1.01862282967694,16616,0.235889683482246,-1.75621812928651,2.23678336304708,-0.00720555040009653,0.0729535027379825,124,-0.778340212796653,1.25890544655722,-1.43535193793828,1.91591717169884,-1.75621812928651,2.23678336304708,-0.080159053138079,0.065747952337886,-0.127214062404078,0.112802961603885,-0.150194415766542,0.135783314966349,0.180294752969396,0.766254096063774,-0.585959343094378,0.94654884903317,-1.08019323505551,1.4407827409943,-1.3215632753156,1.68215278125439
15,0.0145105353865661,1.0697525899051,16482,0.0135643844413159,-2.08220454082743,2.11122561160057,-0.00665850070937875,0.0763073473358963,123,-1.05524205451854,1.08426312529167,-1.74523247500733,1.77425354578046,-2.08220454082743,2.11122561160057,-0.0829658480452751,0.0696488466265176,-0.132184087076928,0.118867085658171,-0.156220901487736,0.142903900068978,0.0108879012012679,0.802689761252141,-0.791801860050873,0.813577662453408,-1.3095367560585,1.33131255846104,-1.56238403085293,1.58415983325546
16,0.158500314706864,0.997758006403013,16348,0.158856469895209,-1.79710537784304,2.11410600725677,-0.0122338184908444,0.0764013717967426,122,-0.839257691696149,1.15625832110988,-1.48281160582609,1.79981223523982,-1.79710537784304,2.11410600725677,-0.088635190287587,0.0641675533058982,-0.137914075096486,0.113446438114797,-0.16198050721246,0.137512870230771,0.11892984792938,0.749522903307162,-0.630593055377781,0.868452751236542,-1.1140353280109,1.35189502386966,-1.35013504255266,1.58799473841142
17,0.463358117655463,1.16800097461824,16214,0.396710386142367,-1.82592379259628,2.75264002790721,-0.0041164491716262,0.0777831162650933,121,-0.704642856962775,1.6313590922737,-1.45800348559154,2.38471972090246,-1.82592379259628,2.75264002790721,-0.0818995654367195,0.0736666670934671,-0.132069675427705,0.123836777084452,-0.156571357051209,0.148338458707957,0.347678240081258,0.882667368766768,-0.53498912868551,1.23034560884803,-1.10430958154008,1.79966606170259,-1.38234980270161,2.07770628286412
18,0.529960020263292,1.31276955240882,16080,0.403696154660855,-2.04306830245799,3.10298834298458,-0.00869447746030196,0.0811632357859277,120,-0.782809532145527,1.84272957267211,-1.62954589344922,2.6894659339758,-2.04306830245799,3.10298834298458,-0.0898577132462297,0.0724687583256257,-0.142208000328153,0.124819045407549,-0.16777441960072,0.150385464680116,0.397652614981433,0.992319326659642,-0.594666711678209,1.38997194164108,-1.23471267737368,2.03001790733654,-1.54729326527147,2.34259849523433
19,0.429063560704955,1.1317399298302,15946,0.379118514241455,-1.78914670176224,2.64727382317215,-0.00767377059744697,0.0846067445372515,119,-0.702676369125248,1.56080349053516,-1.43264862386573,2.29077574527564,-1.78914670176224,2.64727382317215,-0.0922805151346984,0.0769329739398045,-0.146851865361226,0.131504324166332,-0.17350298989046,0.158155448695566,0.32194550604554,0.854739943185727,-0.532794437140187,1.17668544923127,-1.08410170049498,1.72799271258606,-1.35334478259849,1.99723579468957
