"lb","ub","method","Delta","Mbar"
-14.0015376040052,167.085015407794,"C-LF","DeltaRM",0
-105.478249950172,336.97033833639,"C-LF","DeltaRM",0.5
-264.162342795563,514.323147987121,"C-LF","DeltaRM",1
-450.849510848965,704.744059401591,"C-LF","DeltaRM",1.5
-639.403550582901,891.431227454993,"C-LF","DeltaRM",2
