buyer,seller_nace4d,year,n_suppliers,total_sales_in_year
46D183E20EB46E32E4CA625B71B4AD97522F4ACDE3BAF8579ACF464F98087B8E,4673,2009,2,1190.26000976563
4BB7D92E0635954FA4879107C4ECFB0EDB1C1AA90DFA446E26A6CB82B571B592,4673,2009,1,3945.5400390625
FEEB72045B9C8E1D1E438797096A98DC8041A48A1AE7399FE650621711D8BAB3,4673,2009,1,1164.25
9A223F33887F80EE1616E19052D7175A6FD49BAA5085C9F873C92F25A624BE41,4673,2009,1,629.909973144531
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2009,1,1430.59997558594
E73499FBECC0CB6673265DCBB14DB6C443A7EF3C84F99944FBE276F01196804E,4673,2009,2,2780.61004638672
CBFD677240661AE9E5C65007B862388489F95881073B1F21CC0112B572C42F7C,4673,2009,1,373.220001220703
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,4673,2009,5,89102.7314758301
664652F9907FB7BF2A44D8B29EE29B8AEAA59D176F7E7FA9A3BFC128632EFE39,4673,2009,4,32034.9201660156
06293F6EE72354A5EEC27E3925EA2F31420BC3BF0D984801512A4FB156358E10,4673,2009,1,551.919982910156
0B839A14E6190190E37B27ADFA66BD80E9DFC9B009364F4FB8C924FC7CD185BA,4673,2009,3,537511.612426758
03C2F8EBEFFAC11E770D85E82485F76642EA0BF2914C018154D0A369C7BF7FAF,4673,2009,3,1245.10000610352
3C0F5D2306F0A7E37530F497838AA2A694BBB615ADB3CB257C9CBF3AE2B3188B,4673,2009,1,1433.64001464844
E16FA02E243142ED11A22F5D561E0AECA375E8FA5AB686991FF2CFF247D80139,4673,2009,2,6354.21997070313
738A9FB92FD796563209FB033DEE18DBBD40C9475DCEA5E5B8490C0BD6B6351D,4673,2009,2,2010.5
A865A25E6FDCF2F19EFDA3484AF5BA77EB69E996041E2D2E6BCED57377BCEAEB,4673,2009,1,347.040008544922
A05236E81F9EBF4E170913BB550B2A3C2C06158B779881BAC9FFA44C39044F03,4673,2009,2,640.160003662109
66DCC51088434215A5B77586058D15FA171B4085525EFAABF47D62B9C9ADE3CF,4673,2009,9,495763.21459961
5710623BA6FDD88B45EBF8AB2D79EBDCAEEEB0E8264C3943F22E7901A6FA1B55,4673,2009,1,401.119995117188
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,4673,2010,6,22480.460357666
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,4673,2010,5,260125.594116211
F2FD70DD9C68F0B393D3C4092E2CFC704C7401FC211106E245D03780CD82F19F,4673,2010,2,6787.09008789063
B89D9CB49261AC02F024DAF3DC86FD730EDE84DB3E4A3EAEE9F8C40748148427,4673,2010,1,1807.53002929688
96BFA5EE90814CBD5C0D8579EF0756BF1C811AF96B52A9B6B50748AC8C9EFEC0,4673,2010,8,51047.7002258301
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,4673,2010,4,37592.1797790527
6DF6FD750AA2D67C2FB15D06A63C0321D1BBE5A3AB2AF038C453EFD0BDD605CD,4673,2010,6,362713.546386719
26447DF141F5D46256F23A2E3F92F38974CB73D026F90B39B34FFF5CE64E1359,4673,2010,3,19909.2899169922
F30E60828DC1B328C8766A07FA03A81E0E21B5D3F5DA1768FE350E6B22B31B97,4673,2010,7,318710.792602539
A0B44CF8258D0A44D27D379D0CD4B5D173FC1457A2B18D84A999423522AED2D2,4673,2010,5,4389.75006103516
0E334750F1055B653BF3D3C19C382797D9F519D3EFCA6085F3DCC0851BFD1414,4673,2010,2,144476.193359375
BCE0FD6F60C1F923D975C15CFE0C8805558768EA417EFC367AF3CA7708BEC8B5,4673,2010,5,56731.1301269531
46D183E20EB46E32E4CA625B71B4AD97522F4ACDE3BAF8579ACF464F98087B8E,4673,2010,3,2425.33996582031
F5FD00EBBBDAA76A22300CC77AD4F468241746471C486941878A0EC20EE3F0A7,4673,2010,3,189741.467285156
4BB7D92E0635954FA4879107C4ECFB0EDB1C1AA90DFA446E26A6CB82B571B592,4673,2010,1,3835.40991210938
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2010,1,4357.77001953125
E73499FBECC0CB6673265DCBB14DB6C443A7EF3C84F99944FBE276F01196804E,4673,2010,4,66121.1387634277
BE7DF6308F81B71B3451E5037C21FF764FBFB85A4734F587745727CD77FA67D5,4673,2010,1,12672.3798828125
26322413EBFF195CDAE47DB45BA0D08A1E1E9F3EA1BA87D3EC2D6E4E65D7AFC1,4673,2010,3,32380.5204467773
B2D41D2F009AF48CCAF426F737894F82A0D14F6A12224540ECAF1F7712F85175,4673,2010,2,1735.73001098633
67B831BF5401B2BBA1670EB7D0FE214CA4A264D6A80561EC80561FA079EA2D0D,4673,2010,1,791
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,4673,2010,6,143474.018890381
88CD788580104FB68FCE0A0F0583F443D53678EA60679DB3D1917FB9E936363D,4673,2010,4,19625.889831543
EA1B2625F236F386C8047A4FF05EEFA589BC2737825902CB44BC003C61070512,4673,2010,1,664.200012207031
0AD9ECCD23B0278419FABC297410AEFC0449CDF4ED59E152CB87C4F9B43BD70C,4673,2010,1,780.309997558594
E16FA02E243142ED11A22F5D561E0AECA375E8FA5AB686991FF2CFF247D80139,4673,2010,2,4262.14004516602
738A9FB92FD796563209FB033DEE18DBBD40C9475DCEA5E5B8490C0BD6B6351D,4673,2010,2,4583.97009277344
C9F7E6D81B074FF32F9B043A40B3E182FDEEC08F906C819A7A41E4E89EE6F9BF,4673,2010,1,1993.05004882813
66DCC51088434215A5B77586058D15FA171B4085525EFAABF47D62B9C9ADE3CF,4673,2010,8,683545.663085812
5710623BA6FDD88B45EBF8AB2D79EBDCAEEEB0E8264C3943F22E7901A6FA1B55,4673,2010,1,548.450012207031
A70004E22644FF322A46B64B8A9D1EB6204EE87137FF5162404D09278B943385,4673,2010,3,53514
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,4673,2011,5,13997.4099731445
F31267A358BD041181683AC6E42E8AA92ECD54A4C7B4988A4B347C94BAC3182D,4673,2011,2,76447.0766601563
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,4673,2011,3,343224.01171875
B89D9CB49261AC02F024DAF3DC86FD730EDE84DB3E4A3EAEE9F8C40748148427,4673,2011,1,796.710021972656
2FAD12511AA5BDD99C6BD60EE09D8B2C1F03D2692B035B154A63C3CD30EA3308,4673,2011,1,9171.41015625
96BFA5EE90814CBD5C0D8579EF0756BF1C811AF96B52A9B6B50748AC8C9EFEC0,4673,2011,7,48932.7499389649
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,4673,2011,4,14878.7702636719
26FEE1B86E920BDA8C964985218450E0B0CD0D5C151693FDCF9F0633F0894A95,4673,2011,4,27811.58984375
AC39CBDCB2B6C4C1B33A024C914A1FA4320ECFABDC086E62806BF5B914C14267,4673,2011,7,107400.462280273
DDEC1F035485958FD3F89FB1EDC9309CDEF6D17E4C23C76928CBBEF8FE17E947,4673,2011,2,38648.4815673828
26447DF141F5D46256F23A2E3F92F38974CB73D026F90B39B34FFF5CE64E1359,4673,2011,9,114935.656555176
F30E60828DC1B328C8766A07FA03A81E0E21B5D3F5DA1768FE350E6B22B31B97,4673,2011,6,384120.041015625
A0B44CF8258D0A44D27D379D0CD4B5D173FC1457A2B18D84A999423522AED2D2,4673,2011,5,26677.4906921387
4BB7D92E0635954FA4879107C4ECFB0EDB1C1AA90DFA446E26A6CB82B571B592,4673,2011,1,4522.2900390625
9A223F33887F80EE1616E19052D7175A6FD49BAA5085C9F873C92F25A624BE41,4673,2011,1,2192.3701171875
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2011,1,3781.669921875
C14BB26E265D634D8598A24F8F2491643FAB6F115715D55808023456839F95D8,4673,2011,7,134673.526916504
6FD8DF79C130AAC4F854930CC00B7643DA68D62B5DF3FE1865BD2BE533F12B78,4673,2011,1,712.830017089844
26322413EBFF195CDAE47DB45BA0D08A1E1E9F3EA1BA87D3EC2D6E4E65D7AFC1,4673,2011,3,4209.58996582031
D24CFD4E4D07CA02994732D641C177D71F3ABA14D8EBD52CB9EAC7C559942972,4673,2011,7,167182.676696777
88CD788580104FB68FCE0A0F0583F443D53678EA60679DB3D1917FB9E936363D,4673,2011,3,4449.85003662109
EA1B2625F236F386C8047A4FF05EEFA589BC2737825902CB44BC003C61070512,4673,2011,1,365.760009765625
C96566D9C5F35C82C4D950E8C7FBC3633EBA1D3A0C72A998FE7D6F7231ADA7DA,4673,2011,1,307.010009765625
E16FA02E243142ED11A22F5D561E0AECA375E8FA5AB686991FF2CFF247D80139,4673,2011,2,8222.1298828125
738A9FB92FD796563209FB033DEE18DBBD40C9475DCEA5E5B8490C0BD6B6351D,4673,2011,3,5168.75997924805
FF187257819E01D691EAE4C5E3B62B39E0EDA7887226B0329EC42EF3C4BF57F1,4673,2011,2,6701.67993164063
176DF2E49029AEFF2D4AA059598518F55A2AF7FFEEBBF2FF6145AD6F7D0BB599,4673,2011,2,1576.24996948242
4AD058558FB153865A70374ECD65BF73C81C8F32472F2584D475EBA4F49442F0,4673,2011,7,716390.999084473
A05236E81F9EBF4E170913BB550B2A3C2C06158B779881BAC9FFA44C39044F03,4673,2011,2,3300.86010742188
67863B92FB29A53B4F85034E41DF069DCCE2E96E963396F391424D73021DCAC2,4673,2011,3,3550
66DCC51088434215A5B77586058D15FA171B4085525EFAABF47D62B9C9ADE3CF,4673,2011,10,280732.557617188
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,4673,2012,4,9118.2698059082
F31267A358BD041181683AC6E42E8AA92ECD54A4C7B4988A4B347C94BAC3182D,4673,2012,4,53973.0104980469
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,4673,2012,4,369845.28125
258F5988E3F80F9BF6778DB7E1DC36E33A99B8DBBACA10D1431ACAFDD5AEDD70,4673,2012,4,15048.9301147461
96BFA5EE90814CBD5C0D8579EF0756BF1C811AF96B52A9B6B50748AC8C9EFEC0,4673,2012,7,16068.7696533203
B188ACCD7D670129BC2B481D43DCBE11145581A8901BA1294B5F7C563EC9DF71,4673,2012,1,404.450012207031
C49E201600E431B8C579817E8AE9DA71DC56031066A5DBCA7BF5D3219E55339B,4673,2012,4,26375.0303344727
26FEE1B86E920BDA8C964985218450E0B0CD0D5C151693FDCF9F0633F0894A95,4673,2012,3,7225.80004882813
AC39CBDCB2B6C4C1B33A024C914A1FA4320ECFABDC086E62806BF5B914C14267,4673,2012,7,198619.476318359
26447DF141F5D46256F23A2E3F92F38974CB73D026F90B39B34FFF5CE64E1359,4673,2012,8,115408.819915771
F30E60828DC1B328C8766A07FA03A81E0E21B5D3F5DA1768FE350E6B22B31B97,4673,2012,8,98900.8070678711
A0B44CF8258D0A44D27D379D0CD4B5D173FC1457A2B18D84A999423522AED2D2,4673,2012,5,12009.7201843262
8D77A015524F01D004DB52EE065746D3502EA5E855F2D16133BE66F708368698,4673,2012,4,23762.7596740723
4BB7D92E0635954FA4879107C4ECFB0EDB1C1AA90DFA446E26A6CB82B571B592,4673,2012,1,5819.990234375
FEEB72045B9C8E1D1E438797096A98DC8041A48A1AE7399FE650621711D8BAB3,4673,2012,2,1462.19003295898
9A223F33887F80EE1616E19052D7175A6FD49BAA5085C9F873C92F25A624BE41,4673,2012,1,500.649993896484
787A33BD6A5A8E3F133A25F3E3A7CC2F27EA07C93809C6C1D3C54867365C0BEE,4673,2012,1,814.590026855469
C14BB26E265D634D8598A24F8F2491643FAB6F115715D55808023456839F95D8,4673,2012,5,118650.131408691
BC76FC23DCBEA8126406AF5CF09F1633B2E6667585D4F90885625C9D97489BB2,4673,2012,2,20977.0092163086
CBFD677240661AE9E5C65007B862388489F95881073B1F21CC0112B572C42F7C,4673,2012,1,398.299987792969
