"lb","ub","method","Delta","M"
-6.9522155638041,7.79262267189544,"FLCI","DeltaSD",0
-19.7090937380074,15.9060289014018,"FLCI","DeltaSD",2.70770137991672
-26.2809923586021,23.3036082485416,"FLCI","DeltaSD",5.41540275983345
-31.3857843162936,29.9197807821776,"FLCI","DeltaSD",8.12310413975017
-34.1670724325202,34.4207093088723,"FLCI","DeltaSD",10.8308055196669
