version,treat_year,norm_year,year,mean_share,median_share,n_cells,ci_lo,ci_hi
treat_2008,2008,2007,2005,3.21796211647723,1.00330688020461,185,1.72752854036101,5.2077331459918
treat_2008,2008,2007,2006,0.995946849291503,1.00001179060288,222,0.910616447015492,1.08072896151534
treat_2008,2008,2007,2007,1.00407149075695,0.999984488230618,221,0.91678599211144,1.09244788462155
treat_2008,2008,2007,2008,17.5842528095774,1.00983519522632,207,2.25059166376649,45.9971577642615
treat_2008,2008,2007,2009,18.4324114467817,1.0001131774123,192,2.17135676718352,49.5773527085146
treat_2008,2008,2007,2010,2.42151278588748,1.00068247968192,183,1.43852298095181,3.84859523382304
treat_2008,2008,2007,2011,2.48602451499259,1.00004407458077,182,1.27788274900593,4.10149145686434
treat_2008,2008,2007,2012,2.39879808910686,0.967844084035785,174,1.2176596503649,4.05355090627406
treat_2008,2008,2007,2013,3.24401250906665,1.00002417942451,166,1.35859184062702,5.70584703777059
treat_2008,2008,2007,2014,20.6119312523086,0.968428998932522,165,1.63980667698244,57.9832558934936
treat_2008,2008,2007,2015,20.4405228282845,0.601569784457706,164,1.45517430739653,72.3286019949691
treat_2008,2008,2007,2016,20.4579306351735,0.960766778321439,169,1.89028788073681,56.5165167232339
treat_2008,2008,2007,2017,21.0098209982043,0.995807058562133,164,1.81463536240229,57.198784358514
treat_2008,2008,2007,2018,22.150086344127,0.909439317350644,160,2.20661273211362,59.5346392531047
treat_2008,2008,2007,2019,21.9531934749624,0.943925496356877,159,2.27372380758716,59.608734978991
treat_2008,2008,2007,2020,24.619537143221,1.00002417942451,152,3.2827914585617,64.103619009557
treat_2008,2008,2007,2021,23.1157616184753,0.993354984401357,154,2.3376923635969,62.9398008313547
treat_2008,2008,2007,2022,25.8252392702333,0.984174178790082,148,3.92117901717881,66.3790100234237
treat_2013,2013,2012,2005,1.19250539073407,1.00002839227906,37,0.62068837262899,2.0473274366335
treat_2013,2013,2012,2006,1.00896793265832,0.698294597094097,38,0.578169371356787,1.69203918600387
treat_2013,2013,2012,2007,2.8123056482715,0.634318971800912,42,0.586443313306565,6.93745197199552
treat_2013,2013,2012,2008,0.726374386719675,0.750698344030891,41,0.509313983762573,0.956407772479945
treat_2013,2013,2012,2009,1.30370794589112,0.649962049066118,52,0.563113842900016,2.37498571428647
treat_2013,2013,2012,2010,0.930891480814188,0.941966273577163,57,0.61174568215543,1.3658030720892
treat_2013,2013,2012,2011,0.981601303280596,0.998018297647266,58,0.844122314106262,1.11170146489395
treat_2013,2013,2012,2012,1.0183986967194,1.00198170235273,58,0.873067624704766,1.15431184159759
treat_2013,2013,2012,2013,0.95852116481996,0.989317200677898,57,0.736614535990708,1.20396160042815
treat_2013,2013,2012,2014,1.23046535460542,0.936675913948169,53,0.678500977541781,2.13588265688393
treat_2013,2013,2012,2015,1.93255986081943,0.957650957536566,51,0.731935017742411,3.66656419998287
treat_2013,2013,2012,2016,1.56948210870282,0.153668437811777,48,0.407594475954572,3.71994662547044
treat_2013,2013,2012,2017,0.917404446979606,0.674924654689962,46,0.497026856318619,1.47159596308812
treat_2013,2013,2012,2018,2.62036571565647,0.713048681113818,49,0.50204074035155,6.69642090376064
treat_2013,2013,2012,2019,2.80223049923365,0.132004755196099,48,0.429093165850421,6.95116067868841
treat_2013,2013,2012,2020,3.44295446785132,0.647490007069085,47,0.576701139307996,8.61294621043755
treat_2013,2013,2012,2021,0.961624855274836,0.0841496339619228,47,0.385393022076172,1.93059101398558
treat_2013,2013,2012,2022,1.56983962410523,0.0406283545744779,43,0.350377472341321,3.47741065376201
treat_2017,2017,2016,2005,12.4445813852644,0,354,2.30438089167194,31.0290122443901
treat_2017,2017,2016,2006,27.7314322516581,0,384,2.99259685251616,69.1815901300902
treat_2017,2017,2016,2007,25.9198127867601,0,393,2.15352429400412,64.4706651342492
treat_2017,2017,2016,2008,25.2107446378218,0.00360613402840223,417,2.31510398082249,63.0279157782625
treat_2017,2017,2016,2009,11.9416786559791,0.251712970143798,467,3.13054106498562,26.0469130304655
treat_2017,2017,2016,2010,8.95114245912823,0.0811881608100831,473,1.48261151297267,24.2478548678029
treat_2017,2017,2016,2011,8.23107620020198,0.832711606561039,495,1.75622323791115,20.5728908964686
treat_2017,2017,2016,2012,2.1166904740016,0.846454590347734,502,1.47095995364555,2.96984295404894
treat_2017,2017,2016,2013,2.8693356148354,0.935450859614489,505,1.47138003707,4.63299509285818
treat_2017,2017,2016,2014,7.37681083165893,0.989503751570488,533,1.35007312531423,19.5005122592413
treat_2017,2017,2016,2015,1.0143695948299,1.00011021734512,567,0.968267384637609,1.06090009561864
treat_2017,2017,2016,2016,0.985579539347695,0.999874341075712,565,0.937131626862998,1.03432926444961
treat_2017,2017,2016,2017,1.35303397400147,0.984386067674837,534,1.09814672116733,1.66732776507897
treat_2017,2017,2016,2018,1.61498942107675,0.962077363847459,520,1.1950102171553,2.16074459055442
treat_2017,2017,2016,2019,1.35845962399533,0.909275724624235,505,1.0725592813358,1.70014057126948
treat_2017,2017,2016,2020,1.7018862863862,0.892871898353854,484,1.21408890165306,2.31650126454653
treat_2017,2017,2016,2021,2.7662919605453,0.812900352427448,484,1.3507406673466,5.35951832108362
treat_2017,2017,2016,2022,25.5337103846289,0.713852416074511,457,5.11057549774511,63.9823444382094
