buyer,top_supplier,version,seller_nace4d,omega,num_spend,sum_buyer_tc,n_yr_tc,x_buyertotal,shock_buyertotal
1C6EC1F8E25B016DB87AC7C6CDC9FD74E36F38CFD1673CB9480E1F9ED238F425,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,141494448,52854117165,2,0.00267707523253643,6.13473756437826e-07
1C6EC1F8E25B016DB87AC7C6CDC9FD74E36F38CFD1673CB9480E1F9ED238F425,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,treat_2008,2014,3.93079763820856e-05,507490.46875,52854117165,2,9.60172066001436e-06,3.77424208931228e-10
1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,3951428.5,1690672617,2,0.00233719317404666,5.35586993812188e-07
1DE6B567F3CBE927C0F65E41ACDDEBDEC239113598F9E4023791675633AF5C3F,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,6441.75,33894379,2,0.000190053636917201,7.26859431958289e-09
1DE6B567F3CBE927C0F65E41ACDDEBDEC239113598F9E4023791675633AF5C3F,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,treat_2008,4673,0.000142952612818147,3876,33894379,2,0.000114355244567248,1.63473810003463e-08
1E1A82B4AF372BD8385AA46FE9E74ACC9677516019D082CB5AEE9ECF9A49CC5E,7BD8DA430EC6A64C5278A5087EDDDCFD54EE849C1B904B1F1BFF9FE3FB8E5553,treat_2008,2014,8.25574858824201e-06,209153.203125,481148212,2,0.000434695999919875,3.58874088765296e-09
1E44CC52285B69623C9CCB062BA9A78BAB4DD82BD18FFAC411FB7B652E5DB487,AFCA27A1F1BB2F7C605C4B1753142D734EB685C1A44B33B33D43D3893BB18C10,treat_2008,2014,3.93079763820856e-05,10081.0102539063,452462124,2,2.22803406499198e-05,8.75795104051869e-10
1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,7782201.25,342293441,2,0.0227354670520841,8.69517097112105e-07
1FF4BE36DA23ED1089F771723A6F25ACE00CFA2E444FBEB5B9881B54FB91D596,1629E9233A9D8C0E17FE5852F17030A4B06A38832FCB56CFA37AFC6A42F63349,treat_2008,1031,0.000131960772208984,2178,708337034,2,3.0748074651706e-06,4.05753967497861e-10
1FF4BE36DA23ED1089F771723A6F25ACE00CFA2E444FBEB5B9881B54FB91D596,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,treat_2008,1051,6.54164203332758e-06,655696.84375,708337034,2,0.000925684825551561,6.0554987644416e-09
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,868351.96875,510302429,2,0.00170164184883784,3.89945192585899e-07
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,52CC2CBF9E3CAAF0F57404F3B203CA71D00EDB7723E195AE8A8947ADA5C06C9A,treat_2008,4211,0.000432901544261535,554.679992675781,510302429,2,1.08696326169316e-06,4.70548074542523e-10
2143DCDF48C485A5ED2D56CBEA8AED4B49D0BE62E07BC3509CE4E241A2213380,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,treat_2008,2351,3.82449630403523e-05,48401.9599609375,7492548,2,0.00646001333070372,2.47062971072947e-07
231728AE658DF5F67DE00CBD2B6F24F04EF33377DE281117BBA359DFB4CEA28C,EE1CC683DC430F9FD34068CC8A9EB02D8B711844ECEB463B526854EAFD885B6D,treat_2008,1712,7.97125244171911e-05,84911.119140625,352844998,2,0.000240647081925262,1.91825863938933e-08
233C29FA2E67D9E99661CF7ABDF39D6AC6BAEC0D61A8BF7ACA5B2A341DB24E7D,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,8796594.5,203145230,2,0.0433019987720115,9.92300833576614e-06
233C29FA2E67D9E99661CF7ABDF39D6AC6BAEC0D61A8BF7ACA5B2A341DB24E7D,F528BEC475BD1E0F79259B2E943C62A8B2D1382032F6DDF19F90EDF27B4E278A,treat_2008,2352,3.47441270450376e-05,440736.388671875,203145230,2,0.00216956306910024,7.53795749050406e-08
23471D8AF6182A3169E31B37360D193223E3008F721885E39CE6B91088310182,7C45D5C36EEA033EE8C487408E9428CBEC67A338A6F94919C4AF35C8C8405829,treat_2008,1320,3.84489142781168e-08,3083.34997558594,101262511,2,3.04490768117131e-05,1.17073394418135e-12
24EC9B9D0111DCD6D335B5F1A858B1F4086C18CB005053FE84A5F27D5EA4B086,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,treat_2008,3511,0.000229158205560246,5398443,754767858,2,0.00715245481478889,1.63904371070776e-06
24EC9B9D0111DCD6D335B5F1A858B1F4086C18CB005053FE84A5F27D5EA4B086,E30B927536F61331175A68BC7A08D889C65901DBE6824FE8ED84680AF71FAB48,treat_2008,1051,6.54164203332758e-06,982026.875,754767858,2,0.00130109789995853,8.51131671184298e-09
