"lb","ub","method","Delta","M"
-0.00373789343229648,0.0357966553990698,"FLCI","DeltaSD",0
0.00753571193233737,0.0776857831668109,"FLCI","DeltaSD",0.00994380055871856
-0.00219229631170349,0.0874137914108518,"FLCI","DeltaSD",0.0198876011174371
-0.012134920612638,0.0973564157117862,"FLCI","DeltaSD",0.0298314016761557
-0.0220787211705839,0.107300216269732,"FLCI","DeltaSD",0.0397752022348742
