"lb","ub","method","Delta","Mbar"
-22.5128298454685,26.5600801547662,"C-LF","DeltaRM",0
-30.1014241754017,35.6663933506861,"C-LF","DeltaRM",0.5
-37.6900185053349,44.7727065466059,"C-LF","DeltaRM",1
-46.7963317012548,55.3967386085124,"C-LF","DeltaRM",1.5
-56.4085511858368,66.0207706704189,"C-LF","DeltaRM",2
