"h","coef","se","n","t_stat","lo68","hi68","lo90","hi90","lo95","hi95"
0,0.000357504442161838,0.000430795078152555,144,0.829871231804643,-7.32906359907166e-05,0.000788299520314393,-0.000351153461399114,0.00106616234572279,-0.000486853911017169,0.00120186279534085
1,0.000774614074682638,0.000717605843766396,143,1.07944226125171,5.70082309162423e-05,0.00149221991844903,-0.000405847538313083,0.00195507568767836,-0.000631893379099498,0.00218112152846477
2,0.000996606011740147,0.000888233156518106,142,1.1220094683775,0.000108372855222041,0.00188483916825825,-0.000464537530732138,0.00245774955421243,-0.000744330975035341,0.00273754299851564
3,0.00109040615494599,0.000997585184929268,141,1.0930456580741,9.28209700167206e-05,0.00208799133987526,-0.000550621474262658,0.00273143378415464,-0.000864860807515377,0.00304567311740736
4,0.0014678819787414,0.00122304468308465,140,1.20018671357063,0.000244837295656751,0.00269092666182604,-0.000544026524932845,0.00347979048241564,-0.000929285600104509,0.0038650495575873
5,0.0016273071062141,0.00112990817235941,139,1.44021182076775,0.000497398933854693,0.00275721527857352,-0.000231391837317127,0.00348600604974534,-0.000587312911610341,0.00384192712403855
6,0.00194058175805298,0.00110866716132987,138,1.75037362496172,0.000831914596723114,0.00304924891938285,0.00011682427766535,0.00376433923844061,-0.000232405878153557,0.00411356939425952
7,0.00152169391490345,0.00117875456237442,137,1.2909336374811,0.000342939352529028,0.00270044847727787,-0.000417357340202472,0.00346074517000937,-0.000788665027350414,0.00383205285715731
8,0.00134396054655708,0.00162259158864049,136,0.828280237593941,-0.000278631042083415,0.00296655213519757,-0.00132520261675653,0.00401312370987069,-0.00183631896717829,0.00452424006029245
9,0.00145391819987803,0.00170518190784583,135,0.85264697753847,-0.000251263707967801,0.00315910010772386,-0.00135110603852836,0.00425894243828442,-0.0018882383394998,0.00479607473925586
10,0.00190169778363607,0.00183439721707076,134,1.0366881098265,6.73005665653152e-05,0.00373609500070683,-0.00111588563844532,0.00491928120571747,-0.00169372076182261,0.00549711632909476
11,0.00150380711956832,0.00165822437762106,133,0.906877947196582,-0.000154417258052743,0.00316203149718938,-0.00122397198161833,0.00423158622075497,-0.00174631266056896,0.0047539268997056
12,0.00159684963927176,0.00180686960053494,132,0.88376584497243,-0.000210019961263183,0.0034037192398067,-0.00137545085360822,0.00456915013215174,-0.00194461477777673,0.00513831405632025
13,0.00174414988261294,0.0019001920320491,131,0.917880852669455,-0.000156042149436168,0.00364434191466204,-0.00138166601010784,0.00486996577533371,-0.00198022650020331,0.00546852626542918
14,0.00205938306462149,0.00194960481509478,130,1.05630794952739,0.000109778249526716,0.00400898787971627,-0.00114771685620941,0.0052664829854524,-0.00176184237296427,0.00588060850220725
15,0.00185527226098212,0.00181011446378861,129,1.02494748155263,4.51577971935107e-05,0.00366538672477073,-0.00112236603195014,0.00483291055391438,-0.00169255208804355,0.00540309661000779
16,0.00202780211730697,0.00188740766903303,128,1.07438480333497,0.000140394448273936,0.00391520978634,-0.00107698349825237,0.00513258773286631,-0.00167151691399778,0.00572712114861171
17,0.00225561272940918,0.00190526916173356,127,1.18388140358964,0.000350343567675622,0.00416088189114274,-0.000878555041642525,0.00538978050046089,-0.0014787148275886,0.00598994028640696
18,0.00208180326885993,0.00195231441085671,126,1.06632582194914,0.000129488858003223,0.00403411767971664,-0.00112975393699935,0.00529336047471922,-0.00174473297641922,0.00590833951413908
19,0.00163386362138069,0.00187842552253475,125,0.869804845483546,-0.000244561901154063,0.00351228914391544,-0.00145614636318898,0.00472387360595036,-0.00204785040278742,0.0053155776455488
20,0.00137847651379239,0.00199298193951192,124,0.691665331463052,-0.000614505425719533,0.00337145845330431,-0.00189997877670472,0.00465693180428951,-0.00252776808765098,0.00528472111523576
21,0.00131540819175407,0.00195305401566228,123,0.673513472338868,-0.000637645823908209,0.00326846220741636,-0.00189736566401038,0.00452818204751853,-0.002512577678944,0.00514339406245215
22,0.00128899278787352,0.00195880226261645,122,0.658051510595949,-0.000669809474742932,0.00324779505048997,-0.00193323693413054,0.00451122250987757,-0.00255025964685472,0.00512824522260176
23,0.00118796445681232,0.00206884927599128,121,0.574215082074121,-0.000880884819178963,0.00325681373280361,-0.00221529260219334,0.00459122151581799,-0.0028669801241306,0.00524290903775524
24,0.00133798805650182,0.002128860410186,120,0.628499665877538,-0.00079087235368418,0.00346684846668782,-0.00216398731825415,0.00483996343125779,-0.00283457834746274,0.00551055446046638
