version,treat_year,norm_year,year,mean_raw_share,n_cells,ci_lo,ci_hi
treat_2008,2008,2007,2005,0.464274506632984,185,0.394201869418108,0.53381314065296
treat_2008,2008,2007,2006,0.37666196723174,222,0.324174245115114,0.430365539407925
treat_2008,2008,2007,2007,0.403324667065269,221,0.34651849361673,0.460134124220466
treat_2008,2008,2007,2008,0.480571637675931,207,0.415434859199839,0.544036817662892
treat_2008,2008,2007,2009,0.475745796193233,192,0.411935901346489,0.54411855714031
treat_2008,2008,2007,2010,0.473063827599048,183,0.408519522910314,0.540542255750439
treat_2008,2008,2007,2011,0.437543414970821,182,0.374622102905254,0.505457229950602
treat_2008,2008,2007,2012,0.425718650073033,174,0.358322190589209,0.491270736790473
treat_2008,2008,2007,2013,0.443713022214537,166,0.371502811632124,0.511813148807375
treat_2008,2008,2007,2014,0.438451101888325,165,0.372596689149695,0.508964704070273
treat_2008,2008,2007,2015,0.413527500795549,164,0.347260604537113,0.486880102781322
treat_2008,2008,2007,2016,0.459789222988476,169,0.386352477343077,0.529282936911717
treat_2008,2008,2007,2017,0.463403177902327,164,0.392039520313436,0.532661771085236
treat_2008,2008,2007,2018,0.452919758623694,160,0.384805799644873,0.520917254168184
treat_2008,2008,2007,2019,0.460826632563356,159,0.392864903263827,0.529924380186007
treat_2008,2008,2007,2020,0.488163692873822,152,0.411953114552204,0.564774797009369
treat_2008,2008,2007,2021,0.463492688047649,154,0.390761902479053,0.541355890249333
treat_2008,2008,2007,2022,0.463932497451154,148,0.389132832057624,0.539950408493698
treat_2013,2013,2012,2005,0.514518405372983,37,0.369757257550601,0.67740160743578
treat_2013,2013,2012,2006,0.459873927684236,38,0.309772136182908,0.611313407398638
treat_2013,2013,2012,2007,0.45752550060021,42,0.314926963850072,0.599997813587386
treat_2013,2013,2012,2008,0.486337321066511,41,0.356462752376886,0.627813226207907
treat_2013,2013,2012,2009,0.428784975746355,52,0.310766453371035,0.538404677031952
treat_2013,2013,2012,2010,0.459976404647675,57,0.345668238315875,0.574395663293208
treat_2013,2013,2012,2011,0.540127280117409,58,0.436197679066943,0.650543837812211
treat_2013,2013,2012,2012,0.5607773834117,58,0.461446848903837,0.664487990998836
treat_2013,2013,2012,2013,0.496072276555926,57,0.395223549326098,0.599616417218386
treat_2013,2013,2012,2014,0.483903004821324,53,0.372895024853223,0.594952473180504
treat_2013,2013,2012,2015,0.44631474402356,51,0.315742542389576,0.566417034952222
treat_2013,2013,2012,2016,0.400055880221534,48,0.277589380737002,0.531757426973863
treat_2013,2013,2012,2017,0.429157383527236,46,0.296446764797607,0.570507735345437
treat_2013,2013,2012,2018,0.433122485270553,49,0.316903414539718,0.546575383823533
treat_2013,2013,2012,2019,0.395883772402154,48,0.271340651775554,0.527391955536577
treat_2013,2013,2012,2020,0.427331167738385,47,0.309682714455776,0.55439657930033
treat_2013,2013,2012,2021,0.380146173068019,47,0.257526687387055,0.504181281815747
treat_2013,2013,2012,2022,0.321141555891594,43,0.199636334138608,0.456755613919379
treat_2017,2017,2016,2005,0.324425468706682,354,0.283026039724285,0.371093924959053
treat_2017,2017,2016,2006,0.28089212108859,384,0.241053396593828,0.321361063783932
treat_2017,2017,2016,2007,0.314720827304417,393,0.270913533819979,0.356418045015455
treat_2017,2017,2016,2008,0.317288954807775,417,0.279294286813073,0.358016658606474
treat_2017,2017,2016,2009,0.352570259735251,467,0.310293690343944,0.39220355298265
treat_2017,2017,2016,2010,0.319104293193467,473,0.279935125056011,0.356519774815154
treat_2017,2017,2016,2011,0.39869003130873,495,0.361809714511561,0.436191581068287
treat_2017,2017,2016,2012,0.389405466410851,502,0.352895023518518,0.423897567576376
treat_2017,2017,2016,2013,0.406609784751876,505,0.370104644132322,0.443529596820124
treat_2017,2017,2016,2014,0.396369350364841,533,0.364382080928784,0.43127467714625
treat_2017,2017,2016,2015,0.469807164584748,567,0.437409687598657,0.503590591235452
treat_2017,2017,2016,2016,0.463262294476293,565,0.426353316558221,0.494753108582595
treat_2017,2017,2016,2017,0.435300175449654,534,0.40317303495775,0.470648320913251
treat_2017,2017,2016,2018,0.426588154405478,520,0.390818367196313,0.464077860346304
treat_2017,2017,2016,2019,0.402186778395557,505,0.367015054276316,0.437311387919425
treat_2017,2017,2016,2020,0.384411514122,484,0.349177313194739,0.42021190106253
treat_2017,2017,2016,2021,0.390879222503258,484,0.354050101927197,0.430697748575946
treat_2017,2017,2016,2022,0.409502497941188,457,0.370247596283979,0.453125621197407
