h,est,se,tval,pval
-9,-0.0028505520113607,1e-08,-285055.20113607,2.23332101932454e-06
-8,-0.000531968708443686,1e-08,-53196.8708443686,1.19672409709036e-05
-7,0.000572648495960892,1e-08,57264.8495960893,1.11171124484425e-05
-6,0.00124516666263685,1e-08,124516.666263685,5.11272740795793e-06
-5,0.0093601001095831,1e-08,936010.01095831,6.8014205501451e-07
-4,0.00196905954617393,1e-08,196905.954617393,3.23311589839484e-06
-3,0.0141705397282155,1e-08,1417053.97282155,4.49255839634588e-07
-2,0.307302794368592,1e-08,30730279.4368592,2.07163678311363e-08
