"h","coef","se","n","lo95","hi95"
0,0.172620510868942,0.094934667681562,23986,-0.0134514377869193,0.358692459524804
1,0.216521815469321,0.107815271735724,23852,0.0052038828673022,0.427839748071339
2,0.195818908598714,0.0829555235281524,23718,0.033226082483535,0.358411734713893
3,0.233412798876667,0.0910829723290096,23584,0.0548901731118078,0.411935424641526
4,0.284248086206043,0.115340395973183,23450,0.0581809100986037,0.510315262313483
5,0.323359410442201,0.0775666539031365,23316,0.171328768792053,0.475390052092349
6,0.405866703616783,0.119597251925814,23182,0.171456089842187,0.640277317391379
7,0.551831395912592,0.126738384807865,23048,0.303424161689177,0.800238630136007
8,0.818571515645839,0.189823132944359,22914,0.446518175074896,1.19062485621678
9,0.866229919748612,0.151737426871736,22780,0.56882456308001,1.16363527641721
10,0.931514635656935,0.217119942156364,22646,0.505959549030461,1.35706972228341
11,0.995311387855611,0.220958601793528,22512,0.562232528340297,1.42839024737093
12,1.22257126073417,0.217658331242854,22378,0.795960931498172,1.64918158997016
13,1.27525357009697,0.23525854497494,22244,0.814146821946091,1.73636031824786
14,1.37739873620594,0.288483260930289,22110,0.811971544782574,1.94282592762931
15,1.56311955300331,0.345092418040836,21976,0.886738413643272,2.23950069236335
16,1.6412283136054,0.356829704479357,21842,0.941842092825863,2.34061453438494
17,1.74314639638907,0.354416641767159,21708,1.04848977852544,2.4378030142527
18,1.76376081477076,0.429126798836455,21574,0.922672289051307,2.60484934049021
19,1.6842443983806,0.402404824313004,21440,0.895530942727112,2.47295785403409
20,1.39739498093988,0.38166834176004,21306,0.649325031090206,2.14546493078956
21,1.66599483213342,0.44678454062868,21172,0.790297132501205,2.54169253176563
22,1.50976402567786,0.436021799153733,21038,0.655161299336548,2.36436675201918
23,1.47629931367974,0.410027166603135,20904,0.672646067137599,2.27995256022189
24,1.17311198930765,0.331108657828361,20770,0.524139019964058,1.82208495865123
25,1.06074597154782,0.313120726139709,20636,0.447029348313994,1.67446259478165
26,0.920934479954054,0.334616331646558,20502,0.265086469926801,1.57678248998131
27,0.992620054225587,0.389746323673326,20368,0.228717259825868,1.75652284862531
28,0.999523518792015,0.34406992164078,20234,0.325146472376087,1.67390056520794
29,1.1374298577429,0.319868499894133,20100,0.5104875979504,1.7643721175354
30,1.06075200828879,0.328367516292444,19966,0.417151676355598,1.70435234022198
31,0.982827568829293,0.289118187206433,19832,0.416155921904684,1.5494992157539
32,1.32924573171076,0.298050899610981,19698,0.74506596847324,1.91342549494828
33,1.28524351401759,0.298974304077387,19564,0.699253878025907,1.87123315000927
34,1.48950596833273,0.324621300345663,19430,0.853248219655231,2.12576371701023
35,1.35876077699071,0.296347526282339,19296,0.777919625477322,1.93960192850409
36,1.29163266350001,0.340571258647611,19162,0.624112996550695,1.95915233044933
