"h","gamma","se","n","t_stat","lo95","hi95","beta","beta_se","beta_lo95","beta_hi95"
0,0.00517782267379793,0.0116131132153846,15276,0.445860001342153,-0.0175838792283558,0.0279395245759517,0.403642757600945,0.905312780661814,-1.37077029249621,2.1780558076981
1,0.0117913443750844,0.0203608052036366,15142,0.579119747826983,-0.0281158338240434,0.0516985225742122,0.919206983172013,1.58724855545184,-2.19180018551359,4.03021415185762
2,0.0396980080154278,0.0287154386202454,15008,1.38246218490423,-0.0165842516802532,0.0959802677111087,3.0947010811512,2.23854302486081,-1.29284324757599,7.48224540987839
3,0.0114733742337435,0.0302106367309393,14874,0.379779292172064,-0.0477394737588975,0.0706862222263844,0.894419277456424,2.35510280810992,-3.72158222643901,5.51042078135186
4,0.0308916698204151,0.0352104162690949,14740,0.877344635301274,-0.0381207460670109,0.0999040857078411,2.40819347798639,2.7448660208191,-2.97174392281904,7.78813087879182
5,0.0191927505549521,0.0418458162706314,14606,0.458653988987238,-0.0628250493354854,0.10121055044539,1.49619159403648,3.26213579291057,-4.89759456006824,7.88997774814119
6,0.0307419552770212,0.0427415497633402,14472,0.719252236927281,-0.0530314822591257,0.114515392813168,2.39652231909284,3.33196366455672,-4.13412646343833,8.92717110162402
7,0.0707198454483096,0.0484194555356764,14338,1.46056672190793,-0.0241822874016162,0.165621978298235,5.51304191592373,3.77459094009898,-1.88515632667027,12.9112401585177
8,0.0693726462545172,0.0480795494150704,14204,1.44287222111055,-0.0248632705990208,0.163608563108055,5.4080195480524,3.74809319143309,-1.93824310715646,12.7542822032613
9,0.10127878981649,0.0481801649667127,14070,2.10208474558904,0.00684566648173326,0.195711913151247,7.89529742200089,3.75593678540705,0.53366132260307,15.2569335213987
10,0.0941174570719159,0.0427422149782904,13936,2.2019789362746,0.0103427157144668,0.177892198429365,7.33702799501844,3.33201552210647,0.806277571689765,13.8677784183471
11,0.0588120532876858,0.0401545806058645,13802,1.46464120407465,-0.0198909246998087,0.13751503127518,4.58475711988851,3.13029369045038,-1.55061851339423,10.7201327531712
12,0.0441471461176095,0.0451922919782443,13668,0.97687336014872,-0.0444297461597492,0.132724038394968,3.44153844613087,3.52301392025567,-3.46356883757025,10.346645729832
13,0.038789512089643,0.0543514979467351,13534,0.713678804725071,-0.0677394238859578,0.145318448065244,3.02387830025361,4.23702971173215,-5.2806999347414,11.3284565352486
14,-0.00764129842834988,0.0561733845323822,13400,-0.136030586227983,-0.117741132111819,0.102458535255119,-0.595685670132951,4.37905684780774,-9.17863709183612,7.98726575157021
15,-0.0024946639858012,0.0628364008668368,13266,-0.039700936899424,-0.125654009684801,0.120664681713199,-0.194474224776408,4.89847948095223,-9.79549400744278,9.40654555788996
16,0.00146885437774353,0.0645492270297421,13132,0.0227555688167533,-0.125047630600551,0.127985339356038,0.114506129100735,5.03200469400845,-9.74822307115582,9.97723532935729
17,-0.0016122297747463,0.0633566287335043,12998,-0.02544689966898,-0.125791222092415,0.122566762542922,-0.125683112992282,4.93903440604559,-9.80619054884163,9.55482432285707
18,0.00881981592983975,0.0649497682877095,12864,0.135794417168209,-0.118481729914071,0.13612136177375,0.687558274536651,5.06322932028177,-9.23637119321561,10.6114877422889
19,0.0094044635886607,0.0568723155359198,12730,0.165361010889753,-0.102065274861742,0.120874202039064,0.733135114088464,4.43354276890124,-7.95660871295797,9.4228789411349
20,0.00241114337902463,0.0514790687218569,12596,0.0468373542662964,-0.0984878313158149,0.103310118073864,0.187963285688749,4.01310638982879,-7.67772523837568,8.05365180975317
21,0.0293995539168582,0.0536325213807302,12462,0.548166544476897,-0.075720187989373,0.134519295823089,2.29187397152284,4.18098111717111,-5.90284901813253,10.4865969611782
