h,est,se,tval,pval
-9,-0.282261053690571,0.0814831072756681,-3.46404381383793,0.000688223228676828
-8,-0.261108876062794,0.0748752673595997,-3.48725133506075,0.000635171236339834
-7,-0.258377715068859,0.0832077766101197,-3.10521114245751,0.00226131127478347
-6,-0.189550332824599,0.0681234010844791,-2.78245551171967,0.00606570142407164
-5,-0.0582528064610619,0.0763332231328956,-0.763138304269482,0.446540845189399
-4,0.0544709924766335,0.0754918248558479,0.721548228310101,0.471659301794061
-3,0.0616020817472966,0.0666544367073221,0.92420077027715,0.356818342346952
-2,0.0944565822386715,0.0714665270707232,1.32168983313261,0.188218876945526
0,0.0346046088425647,0.0585813170657615,0.590710666401008,0.555574637024201
1,-0.0694386673548894,0.0649527132071472,-1.06906492317628,0.286702475870315
2,-0.147830363764177,0.074579687104919,-1.98217999434898,0.0492269970881096
3,-0.193017060433435,0.0668809499780039,-2.88597964737217,0.00445889133240469
4,-0.27510257940424,0.0801277491860316,-3.43329972698393,0.000764923302784407
