label,h,est,se,tval,pval
full,-9,-6381.82935344426,1374.41017875348,-4.64332224258719,1.75277100560964e-05
full,-8,2832.74790367495,1732.06824024381,1.63547130410763,0.106859562168533
full,-7,-152.642533581834,1592.59615305379,-0.0958450975089596,0.923943085053139
full,-6,-724.223819315713,1304.67655270103,-0.555098363511153,0.580762429705524
full,-5,-406.030477974361,966.595215809736,-0.420062577729832,0.675846679245353
full,-4,99.7077878078509,1938.46970729376,0.0514363404456033,0.959138032605619
full,-3,-105.418844012504,745.695276102039,-0.141369869692025,0.888021807811619
full,-2,-9.19168294648077,586.109867387404,-0.0156825255091726,0.987536454868929
full,0,577.632189889582,845.239219188258,0.683394921551703,0.496824051032225
full,1,86.8381998515343,1042.57054521687,0.0832923970947888,0.93387902080306
full,2,-1626.9038545398,1956.90347644128,-0.831366428710319,0.408857744190013
full,3,1608.77256808058,2236.38727152527,0.719362244886754,0.474536398257777
full,4,2390.18820475842,1240.19602413412,1.9272664629184,0.0583875507648359
full,5,282.04901337357,2060.13498496248,0.136908025654789,0.891533276181363
full,6,-5557.80887178419,2528.31832754324,-2.19822354299219,0.031556570950181
full,7,-88.0595387881394,2452.65850022466,-0.0359037097011563,0.971470889186083
intensive_only,-9,9678.53578799502,542.466956358083,17.8417057012523,1.91759216859951e-12
intensive_only,-8,-8581.96123949721,292.858157124542,-29.3041564003547,5.40495019960985e-16
intensive_only,-7,-8071.85035934381,1656.68744216927,-4.8722831802084,0.000143267035802709
intensive_only,-6,-11710.6436492777,244.96492943031,-47.8053886183297,1.45252327968956e-19
intensive_only,-5,-8070.22893346505,2053.23074755901,-3.9305026690543,0.00107796219006719
intensive_only,-4,-3822.146034141,1529.54076731478,-2.49888470828472,0.0230002452125028
intensive_only,-3,-12211.1036109474,684.568797766895,-17.837657297237,1.92464742832768e-12
intensive_only,-2,2873.4817342016,36.7768390293561,78.1329176199163,3.55831528744335e-23
intensive_only,0,-11535.3770858828,176.568644109615,-65.3308357440948,7.38306747346139e-22
intensive_only,1,-11841.26907796,133.204151265667,-88.8956460098857,3.98717035961581e-24
intensive_only,2,6363.67226662378,132.8315281953,47.9078450205539,1.40096449101363e-19
intensive_only,3,11530.7261110608,936.060694192707,12.3183530540242,6.73419639482669e-10
intensive_only,4,16360.778108516,154.533772262047,105.871861335091,2.05389866220152e-25
intensive_only,5,16179.8963384221,385.118760006746,42.0127452065401,1.28276735517449e-18
intensive_only,6,9639.18292197315,1490.87407007792,6.46545748928973,5.81453706606139e-06
intensive_only,7,16387.5841394988,631.61642081321,25.9454687995598,4.10087052234305e-15
