buyer,seller_nace4d,n_suppliers,total_sales_in_interval,interval
4F041995909348A972258A49F0EA4DD0F1AEE47DA660396688699BE3C5B383F6,2011,3,1146644.19519043,interval_2006_07
02F0BFEDEC9E92948071739F77D2CB6ABA96BFDA7163F2D7B8A21E5A354BF755,2011,3,89362.2729492188,interval_2006_07
DCF3F0DD9DF652FC8B064F143BE61B6316597A64B4E743D24B0030BAF9B79803,2011,2,97424.4609375,interval_2006_07
98D40171626E4891E0DA4169847D69BF4819BBB41580F318AB2052803110ADCB,2011,2,6631.86004638672,interval_2006_07
142E02E3080113F55F5DFC72C3F58F9BA2BD0416167FFB238010B0AC98BD4C07,2011,2,397842.193359375,interval_2006_07
3A4D3E161C6FD5555D0C12488C027A5427432BE4374A54BF65994D4DBE6C7CE5,2011,2,1971223.37011719,interval_2006_07
A0B44CF8258D0A44D27D379D0CD4B5D173FC1457A2B18D84A999423522AED2D2,2011,4,148046.1015625,interval_2006_07
61A3A7709B2538EDDDD54DB3815F6823DC6593E6B94EE9DCB86889CE6D0B7B56,2011,1,3061,interval_2006_07
13C2663EE59EAD1B5F7A1280773CB0DDEA378BFADF6839F3A711C53EB7B00614,2011,1,1403.64001464844,interval_2006_07
1A08961F3529DA79F79709A236449BD740F02511AB94637D3F706253F19FC019,2011,1,1804.60992431641,interval_2006_07
DA1A66B56437D5C741D6776C78C3FC572574485904C6D0A82A82409C2AE29E38,2011,3,255605.796630859,interval_2006_07
F5FD00EBBBDAA76A22300CC77AD4F468241746471C486941878A0EC20EE3F0A7,2011,1,3107.84997558594,interval_2006_07
2EA5AB1710B2C07A0559C4D607230AEE3A896C7A33156792015D2C79268E4D7A,2011,3,28089.1901855469,interval_2006_07
0E4AFB2A843821812BAA60287F86118E960C81513A1941F5ACC61B0E124771EF,2011,1,568.399993896484,interval_2006_07
E45F7DFD2118AFAC61600B4EB9379275E0EECB7BE145B023366FDC90584C022D,2011,1,2299.4599609375,interval_2006_07
CF7DA54A2F5395AFC836CC1EAA35068820907CE5CD0E61F6C747FEB86128AFE2,2011,2,98306.80078125,interval_2006_07
5A024A8627257DC841CA2C523B09EBBB0D8102F6BD7E92CE82D83C87F37E1B27,2011,1,36795.6591796875,interval_2006_07
D7E5CDFAAACF0B7F90CD7FBB7F8126EB1255FF5547B0834A227723386F131B08,2011,2,8986.22985839844,interval_2006_07
AFCFAC2CC37741503432E297BB01923FD6D597D1DA1DDE441FA5DDCA0EA241D3,2011,4,6171828.96496582,interval_2006_07
9C0323CE44804885E0ABF0D0DF224AB1D92E05FA7B5DCBD1ED38D013CECD74B9,2011,2,11691.4202270508,interval_2006_07
D0BE852A35289E47BDAAFA0811DC3C85974F9D1A510E4521E986558F1EB553D8,2011,1,1170.32995605469,interval_2006_07
D4226E8E76E93ACBF5668C753A6CB409F8D7B2C8085F0AB7B23600B91AA57881,2011,2,12633.5100402832,interval_2006_07
1AAEC2DDC440891E4E4268A5632FEA03CE73F0F3C2F86F4A98909BDBC21759EA,2011,2,6196.48986816406,interval_2006_07
925369B3A4A802500B3DA78F585BF50BE6051BC5982298375AF091146BDBE0FC,2011,1,4505.5,interval_2006_07
969A182C1332AA7D3B3673679AC4454478A1AAEA9E50C82A755CB81680A4E9DC,2011,2,12684.6096496582,interval_2006_07
E7FC48CB1FB093AFEC490CB8E5551CD881007D0E7BF6DA944B4DC4B2A5944804,2011,2,220062.453125,interval_2006_07
4988A9EF1D411A7FF53FE8C211FB9BD56E5B4FDDED7B790100243DCDE4292CEB,2011,2,11123.4096679688,interval_2006_07
63EAEC70BCA3195B16AA666FE02A00DE66AF3A59C53FB4268F471DF4F32A2BE4,2011,1,709.160003662109,interval_2006_07
035CBC50BAA9F51750D5267F66949E7C978592125DF630D7C4C9159BB0F9A4BF,2011,2,110082.488708496,interval_2006_07
1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,2011,3,497372.993103027,interval_2006_07
CBF7863B337E1BF072F92B6BE3DDB9776FF798A90C02B0ECD45BF30FAD99969F,2011,1,310.260009765625,interval_2006_07
A15D0D21AC2F8DAE35FF7294DFE357DC083C30E209EE461130E9808EB7C45D60,2011,2,24328.859375,interval_2006_07
2A25F73048D6E35B7411AC15E524BFBCAF1D16C04508C96DB63625965D06F844,2011,1,1095.39996337891,interval_2006_07
B7B0969288DE9F7EC8490F61C316F814FE985C362DA9D5AE7FA4A96506DC60A7,2011,1,659.080017089844,interval_2006_07
08AB65F88DB73DEEE0FE8929124528C27F0ED3E48AD60AC8AA1D337E9CA3D16B,2011,1,585.940002441406,interval_2006_07
541532C1978CFC740F17F22C4E6107E0CFC0446EEA80EAB9DAE41F9AA6AE3792,2011,2,20628.9697265625,interval_2006_07
A2D0C13790C3E409C825E25214303B2E0AB0A1071E3E1997C5F73FCE2D5E2BDC,2011,2,149355.058837891,interval_2006_07
9217515D7815A8F578C956DB681C1A7109DECEC762DB6AD4DA2CAF87B467B429,2011,1,1889.9599609375,interval_2006_07
2C0F262D4E33D08541B8DFC96C829FCDFD49F33D2709D4E1913A9E93EEB165B1,2011,1,1786.44000244141,interval_2006_07
A43CC3E824B95B6C241B1947CE3F63643E155F7B4D1A30385E1753409E19ECFD,2011,2,2519.47998046875,interval_2006_07
80EFB9EC0B2D2FA6738BC0DCF3279FD2469E7AAE11FB2ECE403CDAB1CDC86FC8,2011,1,4240.03002929688,interval_2006_07
C687737F260F99286ABE60B6525E9E2DF3803FF3C333FEFED996C854D9B20B52,2011,2,5097.96002197266,interval_2006_07
533BBA4DC6FCB4A7B7C4F5D7FB5A6FEAD09E8542D945DB3E09F51FE78B95B797,2011,1,698.410003662109,interval_2006_07
2933865DD9EA5D872D4DB5CE3EFA88841232CF514E5C7067BECE0A367B705212,2011,6,2688891.90527344,interval_2006_07
A0E021EE5C514DEB872430D457F955188240396D6D7B78EE703A32FCFEEA5075,2011,1,2977.80004882813,interval_2006_07
F1288D3E0F15068A3D84C9045A5C23EBD0754A46B208127E0F945D82F0EEAA99,2011,1,44750.900390625,interval_2006_07
7EF48370D89FD9B6F80638F5E7F7A817D8B6AAB813028BC0933E52BF0BC59F1A,2011,2,32590.3294067383,interval_2006_07
AAA406693F960D968F345A609A532C73267258D1055D3247DEFCA4CDD4E6ED0F,2011,2,101204.478881836,interval_2006_07
BF89EB5FE517FECBD845B2797B2CAE42CFAC040756107245AA38078D27B16279,2011,1,753.410003662109,interval_2006_07
7BD57240424BEA31D6CD0F61577CC299E3EB9ED418D6138E7CEF74A46F10D0E9,2011,3,853341.69140625,interval_2006_07
95C50FA92A9AE9C1652802F12C49EEABB84E75A31EC650C4544A908EBE0C445E,2011,1,2504.38000488281,interval_2006_07
B6EFE016EC0C2668A7AFF8E5A70FF3033726E8022ED5F7F6F46628DC3A427E7C,2011,2,5371.71002197266,interval_2006_07
53401140978EF2A6EBC4A8AFEDF11D155ECB6B0B57D08C0C36B5973DC3D6C615,2011,2,3868.03002929688,interval_2006_07
4AD058558FB153865A70374ECD65BF73C81C8F32472F2584D475EBA4F49442F0,2011,1,2316.85998535156,interval_2006_07
EE1CC683DC430F9FD34068CC8A9EB02D8B711844ECEB463B526854EAFD885B6D,2011,1,22608.9599609375,interval_2006_07
F7837270BB2F707B494CA668AEC3CF7970A1876EC3C3DE61BEDBDB75568E8C66,2011,1,1234.5299987793,interval_2006_07
3C58999F5967660697F638F9C8CC4173045B9C91C1BD70420F5D7CD84DAB02AF,2011,2,725626.3125,interval_2006_07
87050E96D95505A3E1703E5F499DF9ECBCFA2E9E898ECA9D753AD3DE6D5FF1E1,2011,1,867.119995117188,interval_2006_07
241D8F6642EC24B3C16E478E3FB0B7823E7E465012E79009877AAA2DE49EF7D1,2011,1,14966.4204101563,interval_2006_07
1699301EC2767FC1FF82337B41AE8E16B093A1C04259532BBCCFCBA1D82BA80F,2011,1,45406.740234375,interval_2006_07
67863B92FB29A53B4F85034E41DF069DCCE2E96E963396F391424D73021DCAC2,2011,2,14406.1298828125,interval_2006_07
72D8E591463462490A541E91194478BD9DE7D9288FFA374691531E86E6295770,2011,1,635.919982910156,interval_2006_07
D58518D29BDB13652ED33A3F9A10394D7D047FEDBC30A1F05F7C08D082F2E72A,2011,3,3681967.45782471,interval_2006_07
AB7F3E7F124F05ABFB7E3A37C7F0E98206907C78A7FA4A73CE7C46C9A4F499EA,2011,1,1020.5700378418,interval_2006_07
D6087F6F564F9EB41A21C09C34F0F42832CCF196F8F173AAD398683A64316F4A,2011,3,175385.928222656,interval_2006_07
DDC3B17A34F8667CED6703241DF97230AA7CD2C10353F540926E2D4BFC42DDE5,2011,1,2474.97009277344,interval_2006_07
A70C709B812CC7A53345C410E9777CB56DA33C5F9A0A0F12750F0885EB70266B,2011,1,226322.2109375,interval_2006_07
8A4C5959410013BE0AF7727C5E17F07BE37D77A893CFA63929E067F5FE5D6F52,2011,3,428444.362060547,interval_2006_07
FAB184F2A66201BE023118AA56ABB6836C4D9A15CC8171A8338010D991AF8772,2011,4,520297.439941406,interval_2006_07
1AFB637F7FD999D975EFCC46B4533870264EE2DC4EB06425CBD9CF16581115CE,2011,2,14909.9097290039,interval_2006_07
24A2D7069201385B1A8099EEBF787EBF3A3011592180D56894EF4C82EFE20003,2011,1,6124.24975585938,interval_2006_07
2067DC776D1DEE682E338D5BDF2FAFF656A199BA8C65B700D0772CD9404A28CF,2011,3,113495.060333252,interval_2006_07
8E3D3FC7191560A9E4D5B211FC45FE512AA082410BBB6BCCBDAA72758D07EDDA,2011,5,1777267.80700684,interval_2006_07
50CBC52C971831BDA33E79898E5A12813AF64A093148AF7BFA0D96CB7F2F2E10,2011,3,5350.72015380859,interval_2006_07
428011A315D6028E014DB3EA8D76066DF8070037167F5A64A4D33C2652EC516F,2011,1,1003.86999511719,interval_2006_07
D1E4D258F8F4FCFAB0DAF8213B7A4550E2ED82E87FE058F7C49F82C904BD1274,2011,1,1036.88000488281,interval_2006_07
6B0BEE46734492AB3CC2DBB22EE1D5F87E60115FDA6CB87D9BE9E9517859FDC7,2011,1,1477.05004882813,interval_2006_07
A1E9FE762ACC4DE886908DD38F550AAC93E153911553A0EE13701CA7E35CD778,2011,2,16917.3997192383,interval_2006_07
F67F71F147E1CB5AEFA4E81D4CF30FD406FD11D5180E30DE707A48959D8C18A2,2011,4,76365.0211181641,interval_2006_07
798294CF36CF2BBD5FE5C29BC2C449FD8776799CE16E9E49D018988A361D5DA9,2011,2,14427.2003173828,interval_2006_07
2DEA0A85019750F6DE07A74AD80829C0FF1923D16B120445436C744CFE479443,2011,4,92040.1916503906,interval_2006_07
C05DA431913F9646871B0D334F430F7D2144826D6C80B21798FB22D6CA1537C6,2011,1,3076.81005859375,interval_2006_07
73E5163A042C07D05E8B1C5FAFA03128B0572FD29D3CF82DDB0FFA633C1B7A83,2011,1,543.460021972656,interval_2006_07
517D2E94DA52620E6F19821E75D799D84099DAAC8BEEA682F56D1D3365CB9CB6,2011,1,654.400024414063,interval_2006_07
208A11492E89FCB27A61D76E2BF57FD535611E0D8422D31D71C80CE9A5A3E7EA,2011,2,1482.45001220703,interval_2006_07
6C4D80D3A708CD8DA308BC6D97FAD61DA3708CA4F6DA5FA78756E33F6E8C3016,2011,4,967124.82989502,interval_2006_07
EDD882111F78B7A2F97856D89A3CE0B69F47D22E439CE75BACA00216DED4F059,4675,6,532921.7265625,interval_2006_07
D749BF3B9FE8D88AD3E2F9A55DC524F569CF731CBF8E9DB194788F50F76F6EA3,4675,3,18757.029876709,interval_2006_07
BD5734795A3424031D5325971805923C039AA6DA2630EEAE708EE682374F85B4,4675,5,70248.7501220703,interval_2006_07
B5CE021727B84BA4B2DF5BC0513C64B2989FB600D8DB137302D1F8CE86E35A09,4675,3,22235.0898742676,interval_2006_07
E59F3C68EBE515BF1D63F2F3849BF72F083EC1573D48A557002A09FCF8DD50A8,4675,6,6639053.1953125,interval_2006_07
169DCAD4AD54820CA44BCB39322EC9EAA5634D97FB336B12EC161DF1F9AF5ED0,4675,4,50550.3383789063,interval_2006_07
10F6851CCF2E156A95B4D8FA391B331913274D4134A5EA517422C7B5373AC346,4675,2,13959.9799804688,interval_2006_07
9A41E4813F3B92DC2DC05D84CB4DCEB14BB6971B27295251AAE856CB1CDD9E40,4675,2,183730.1328125,interval_2006_07
3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,4675,10,1868545.46862793,interval_2006_07
90DA1714007C8AC5798664794BB87FB1BF02C4AAF6DF809AA989AF4C1F16DA3F,4675,4,19683.820098877,interval_2006_07
9DC272EBF6F15E0B97F49C222ECE1B68E30A31218EFD0FC9431C414033A2DCC5,4675,2,26111.7001342773,interval_2006_07
3D4F4958124C1EC7F879AA8AF7FCA99E38235954F4D247F2CB25F446130153BF,1062,1,13546.5598144531,interval_2006_07
539DFF8A5B778AB035491D14825C7B39DA46F67FAB72F13B77AEF41EB8525850,1062,1,32217.1804199219,interval_2006_07
AABDEE5BC7229D7742B138B8153296792950B948744424057C583A70A6996D7C,1062,1,91162,interval_2006_07
E13616454E4BF3380DD212D13614225515EF33F6F9CFECA55E3C83D914B311D0,1062,1,66082.8198242188,interval_2006_07
A0B44CF8258D0A44D27D379D0CD4B5D173FC1457A2B18D84A999423522AED2D2,1062,1,1168727.203125,interval_2006_07
1A08961F3529DA79F79709A236449BD740F02511AB94637D3F706253F19FC019,1062,1,4380.07992553711,interval_2006_07
0BDFE5EAA496435F87A696788887950D9BD6AA745A2C6C95533B08641C33E65D,1062,1,391772.5078125,interval_2006_07
1DF9568A6A423952768C45FC6F2650E3BCBC951B296CEB9C82A36E484A526A25,1062,1,235479.65625,interval_2006_07
D93064FA7195F71AB1EF712558916F5BABE289000AAC3712CB4EB1B41CD26F54,1062,1,23507.3000488281,interval_2006_07
90CF61641CE8B3C63E342980E3C7C3D9684EB261BF329BD717F6EB20C8DEBFC3,1062,1,5111.61987304688,interval_2006_07
82AD7E022AA1035FA624569E4235B7E60665602F69F48D196D6E577AB3B2F821,1062,1,16785.6298828125,interval_2006_07
E73499FBECC0CB6673265DCBB14DB6C443A7EF3C84F99944FBE276F01196804E,1062,1,12528.9599609375,interval_2006_07
CBFD677240661AE9E5C65007B862388489F95881073B1F21CC0112B572C42F7C,1062,1,8455.76989746094,interval_2006_07
63EAEC70BCA3195B16AA666FE02A00DE66AF3A59C53FB4268F471DF4F32A2BE4,1062,1,14803.4896240234,interval_2006_07
1CB37AB74478F9C217EFCFDA2843A640F506101BDE944EFD19E87241396C4A1C,1062,1,28810.8000488281,interval_2006_07
94EB372F799E991E19BD6837EB1414CF0E4BD897D42C4FFA85E8C6E16270884B,1062,1,209962.396484375,interval_2006_07
E60640E4E30204E117A3D7F608E7D4BC258F80680C12AD053D01E119BF8DF4FB,1062,1,8586.64022827148,interval_2006_07
