"year","Estimate","Std. Error","lo95","hi95"
2010,5.84211353395709,16.586092835556,-26.6666284237326,38.3508554916468
2011,7.1612713153717,13.7596486650113,-19.8076400680504,34.1301826987938
2012,8.08652955421443,13.7588608424445,-18.8808376969769,35.0538968054057
2013,9.94437340849439,11.3405922454524,-12.2831873925923,32.1719342095811
2014,5.5809803740518,10.037355481626,-14.0922363699352,25.2541971180388
2015,-2.10728971657559,3.49592441777121,-8.95930157540715,4.74472214225598
2017,2.14742544664256,12.6350095593388,-22.6171932896615,26.9120441829466
2018,8.18843948805477,17.4037732208037,-25.9229560247205,42.2998350008301
2019,1.68644268441791,18.5142346617905,-34.6014572526915,37.9743426215273
2020,4.81450157470604,16.028248452699,-26.6008653925841,36.2298685419962
2021,17.1104380035908,29.6814241652793,-41.0651533603566,75.2860293675381
2022,73.6014014077022,50.3020025463324,-24.9905235831093,172.193326398514
