"h","coef","se","lo68","hi68","lo90","hi90","lo95","hi95","n"
0,0.000330181278403859,0.000457951595161367,-0.000127770316757508,0.000788132873565226,-0.00042314909563659,0.00108351165244431,-0.00056740384811242,0.00122776640492014,83
1,0.00069782310161016,0.00058789506669456,0.0001099280349156,0.00128571816830472,-0.000269264283102391,0.00166491048632271,-0.000454451229111177,0.0018500974323315,82
2,0.00100493931906823,0.000789357728915366,0.00021558159015286,0.00179429704798359,-0.000293554144997552,0.002303432783134,-0.000542201829605892,0.00255208046774234,81
3,0.000908873973820129,0.000996097682385202,-8.72237085650726e-05,0.00190497165620533,-0.000729706713703528,0.00254745466134379,-0.00104347748365487,0.00286122543129513,80
4,0.000965511098405119,0.00119885835717676,-0.00023334725877164,0.00216436945558188,-0.00100661089915065,0.00293763309596089,-0.00138425128166133,0.00331527347847157,79
5,0.00140633684299221,0.00120550806650355,0.000200828776488661,0.00261184490949576,-0.000576723926406127,0.00338939761239054,-0.000956458967354744,0.00376913265333916,78
6,0.00153311599406487,0.00114667585652226,0.000386440137542606,0.00267979185058713,-0.000353165789914254,0.00341939777804399,-0.000714368684718766,0.00378060067284851,77
7,0.0018771439152435,0.00135367217372163,0.000523471741521871,0.00323081608896513,-0.000349646810528582,0.00410393464101559,-0.000776053545250896,0.0045303413757379,76
8,0.00148718209738518,0.00151272403856866,-2.55419411834812e-05,0.00299990613595384,-0.00100124894606027,0.00397561314083062,-0.00147775701820939,0.00445212121297975,75
9,0.00212680351531653,0.00159757093456479,0.000529232580751733,0.00372437444988132,-0.000501200672042559,0.00475480770267561,-0.00100443551643047,0.00525804254706352,74
10,0.00212529817768701,0.00150865208915525,0.00061664608853176,0.00363395026684226,-0.000356434508973375,0.00460703086434739,-0.000831659917057278,0.0050822562724313,73
11,0.00170947917013153,0.00141342529125175,0.000296053878879787,0.00312290446138328,-0.00061560543397759,0.00403456377424066,-0.00106083440072189,0.00447979274098496,72
12,0.00081379666124677,0.00144580932392391,-0.000632012662677139,0.00225960598517068,-0.00156455967660806,0.0031921529991016,-0.00201998961364409,0.00364758293613763,71
13,0.000897290771890249,0.00160482995859588,-0.000707539186705636,0.00250212073048613,-0.00174265450999998,0.00353723605378048,-0.00224817594695768,0.00404275749073818,70
14,0.00147138845912018,0.00183913876854075,-0.000367750309420567,0.00331052722766093,-0.00155399481512935,0.00449677173336971,-0.00213332352721968,0.00507610044546004,69
15,0.00121476315119953,0.00187753668282056,-0.000662773531621025,0.00309229983402009,-0.00187378469204028,0.00430331099443935,-0.00246520874712876,0.00489473504952782,68
16,0.00107299960980341,0.00182665033474733,-0.000753650724943923,0.00289964994455074,-0.00193184019085595,0.00407783941046277,-0.00250723504630136,0.00465323426590817,67
17,0.00131049124694289,0.00203656150398699,-0.000726070257044099,0.00334705275092987,-0.00203965242711571,0.00466063492100148,-0.00268116930087161,0.00530215179475738,66
18,0.00153687140929939,0.00202643358727773,-0.000489562177978332,0.00356330499657712,-0.00179661184177247,0.00487035466037125,-0.00243493842176495,0.00550868124036374,65
19,0.00161755633382092,0.00202061789942849,-0.00040306156560757,0.00363817423324941,-0.00170636011073895,0.00494147277838078,-0.00234285474905892,0.00557796741670076,64
20,0.00197314034218206,0.00229964804725248,-0.000326507705070419,0.00427278838943455,-0.00180978069554827,0.0057560613799124,-0.0025341698304328,0.00648045051479693,63
21,0.00164413402401631,0.00222245583168845,-0.000578321807672137,0.00386658985570475,-0.00201180581911118,0.0053000738671438,-0.00271187940609304,0.00600014745412566,62
22,0.00244156471025064,0.0022683865660548,0.000173178144195834,0.00470995127630544,-0.00128993119090951,0.00617306061141079,-0.00200447295921678,0.00688760237971805,61
23,0.00182237777522168,0.00255114810841664,-0.000728770333194957,0.00437352588363832,-0.00237426086312369,0.00601901641356705,-0.00317787251727493,0.0068226280677183,60
24,0.00213519237716585,0.00297847668805294,-0.000843284310887097,0.00511366906521879,-0.00276440177468125,0.00703478652901294,-0.00370262193141792,0.00797300668574961,59
25,0.00137354231923394,0.002994320441654,-0.00162077812242006,0.00436786276088795,-0.00355211480728689,0.00629919944575478,-0.0044953257464079,0.00724241038487579,58
26,0.0010729462653255,0.00325890058010809,-0.0021859543147826,0.00433184684543359,-0.00428794518895232,0.00643383771960331,-0.00531449887168637,0.00746039140233737,57
27,0.000940226592722109,0.0033726950795367,-0.00243246848681459,0.00431292167225881,-0.00460785681311576,0.00648830999855998,-0.00567025576316982,0.00755070894861404,56
28,0.000612257879070137,0.0033262890019915,-0.00271403112292136,0.00393854688106164,-0.00485948752920588,0.00608400328734615,-0.0059072685648332,0.00713178432297347,55
29,0.000729674775373088,0.00329421058551107,-0.00256453581013799,0.00402388536088416,-0.00468930163779263,0.0061486511885388,-0.00572697797222862,0.00718632752297479,54
30,0.000371569726979567,0.00328140187088386,-0.00290983214390429,0.00365297159786343,-0.00502633635062438,0.00576947580458351,-0.0060599779399528,0.00680311739391193,53
31,-0.000534336189310038,0.00345922539809921,-0.00399356158740924,0.00292488920878917,-0.00622476196918323,0.00515608959056316,-0.00731441796958448,0.00624574559096441,52
32,-0.0016375030755863,0.00326354708873757,-0.00490105016432387,0.00162604401315127,-0.00700603803655961,0.00373103188538701,-0.00803405536951194,0.00475904921833934,51
33,-0.00215891417374005,0.00371042037121926,-0.00586933454495931,0.00155150619747921,-0.00826255568439573,0.00394472733691564,-0.0094313381013298,0.0051135097538497,50
34,-0.00263056510150562,0.00333217110268102,-0.00596273620418664,0.000701606001175396,-0.00811198656541589,0.00285085636240465,-0.00916162046276041,0.00390049025974917,49
35,-0.00303019554316079,0.00321885973698074,-0.00624905528014153,0.000188664193819949,-0.0083252198104941,0.00226482872417252,-0.00933916062764303,0.00327876954132146,48
36,-0.00316486246141503,0.00322045751426436,-0.00638531997567939,5.55950528493341e-05,-0.0084625150723799,0.00213279014954985,-0.00947695918937317,0.00314723426654312,47
