"window","spec","coef","se","t_stat","lo90","hi90","lo95","hi95","n"
"2010m1-2022m12 (headline)","(A) Treated × Post",0.0261401460540816,0.016615226965534,1.57326445845764,-0.00119190230422183,0.0534721944123851,-0.00642569879836503,0.0587059909065283,21192
"2010m1-2022m12 (headline)","(B) omega_emissions × Post",13.0206721367053,20.4130563031714,0.637860002114548,-20.5588054820116,46.6001497554222,-26.9889182175106,53.0302624909212,21192
"2010m1-2022m12 (headline)","(C) omega_shortage  × Post",309.58725129102,94.1748040099778,3.28736815059599,154.669698694607,464.504803887434,125.004635431464,494.169867150577,21192
"2010m1-2019m12 (pre-COVID, pre-energy-crisis)","(A) Treated × Post",-0.00404187870769112,0.0124357446253597,-0.325021044533891,-0.0244986786164078,0.0164149212010255,-0.0284159381733961,0.0203321807580138,16260
"2010m1-2019m12 (pre-COVID, pre-energy-crisis)","(B) omega_emissions × Post",0.696013071934408,14.6862173309966,0.0473922628439804,-23.4628144375549,24.8548405814237,-28.0889728968188,29.4809990406876,16260
"2010m1-2019m12 (pre-COVID, pre-energy-crisis)","(C) omega_shortage  × Post",166.610361439834,65.8142865852346,2.53152271466258,58.3458600071233,274.874862872545,37.6143597327744,295.606363146894,16260
