"lb","ub","method","Delta","M"
-78.0977692748919,12.5840682308857,"FLCI","DeltaSD",0
-107.40225620385,184.621819786812,"FLCI","DeltaSD",76.623298818435
-185.658681151636,259.679907376681,"FLCI","DeltaSD",153.24659763687
-262.281979969988,336.303206195032,"FLCI","DeltaSD",229.869896455305
-338.905278788339,412.926505013383,"FLCI","DeltaSD",306.49319527374
