"h","coef","se","n","t_stat","lo68","hi68","lo90","hi90","lo95","hi95"
0,0.000126871462036258,0.000470037351223449,84,0.269917830372475,-0.000343165889187191,0.000596908813259707,-0.000646339980726315,0.000900082904798831,-0.000794401746361701,0.00104814467043422
1,0.000384489960053961,0.000599054779493411,83,0.641827714619195,-0.000214564819439449,0.000983544739547372,-0.000600955152212699,0.00136993507232062,-0.000789657407753124,0.00155863732786105
2,0.000600961537278814,0.000698269567699054,82,0.860644033591654,-9.73080304202401e-05,0.00129923110497787,-0.00054769190158613,0.00174961497614376,-0.000767646815411332,0.00196956988996896
3,0.000295147518908395,0.000893521733506401,81,0.330319350767399,-0.000598374214598006,0.0011886692524148,-0.00117469573270964,0.00176499077052643,-0.00145615507876415,0.00204645011658094
4,0.000413130450283526,0.00113895261320857,80,0.362728392289901,-0.000725822162925044,0.0015520830634921,-0.00146044659844457,0.00228670749901162,-0.00181921667160527,0.00264547757217232
5,0.000834755516779155,0.00112765498981578,79,0.740257901856603,-0.000292899473036621,0.00196241050659493,-0.0010202369414678,0.00268974797502611,-0.00137544826325977,0.00304495929681808
6,0.000908681730506935,0.00104878591958297,78,0.866412976700008,-0.000140104189076034,0.0019574676500899,-0.000816571107207049,0.00263393456822092,-0.00114693867187568,0.00296430213288955
7,0.00115000692651057,0.00122905744716514,77,0.935681996934394,-7.90505206545739e-05,0.00237906437367571,-0.000871792574076092,0.00317180642709723,-0.00125894566993311,0.00355895952295425
8,0.000613386614117203,0.0014155118919097,76,0.433332010577227,-0.000802125277792494,0.0020288985060269,-0.00171513044807425,0.00294190367630866,-0.0021610166940258,0.00338778992226021
9,0.00135252918317323,0.00150094442203322,75,0.901118764504991,-0.000148415238859988,0.00285347360520646,-0.00111652439107142,0.00382158275741788,-0.00158932188401188,0.00429438025035835
10,0.00116094766470016,0.00145450689749464,74,0.798172677420693,-0.000293559232794478,0.0026154545621948,-0.00123171618167852,0.00355361151107884,-0.00168988585438933,0.00401178118378965
11,0.000579148497752885,0.00147683822359119,73,0.392154325708463,-0.0008976897258383,0.00205598672134407,-0.00185025038005462,0.00300854737556039,-0.00231545442048584,0.00347375141599161
12,-0.000429462320615298,0.00168591801654237,72,-0.254734996839335,-0.00211538033715767,0.00125645569592707,-0.0032027974578275,0.0023438728165969,-0.00373386163303834,0.00287493699180775
13,-0.000310801837310814,0.00163587150643823,71,-0.189991595359173,-0.00194667334374905,0.00132506966912742,-0.00300181046540171,0.00238020679078008,-0.00351710998992975,0.00289550631530813
14,0.000225458778878281,0.00178211476438364,70,0.12651193031121,-0.00155665598550536,0.00200757354326192,-0.0027061200085328,0.00315703756628936,-0.00326748615931365,0.00371840371707021
15,-0.00035609538764855,0.00201252916769482,69,-0.176939243099978,-0.00236862455534337,0.00165643378004627,-0.00366670586850654,0.00295451509320944,-0.00430065255633041,0.00358846178103331
16,-0.000362750830742502,0.00184275962777008,68,-0.19685195251508,-0.00220551045851258,0.00148000879702758,-0.00339409041842429,0.00266858875693928,-0.00397455970117186,0.00324905803968686
17,2.01257878323769e-05,0.00206360994522406,67,0.00975270926511828,-0.00204348415739168,0.00208373573305644,-0.0033745125720612,0.00341476414772595,-0.00402454970480678,0.00406480128047153
18,0.00037541315229881,0.00197798049861238,66,0.189796184826987,-0.00160256734631357,0.00235339365091119,-0.00287836476791855,0.00362919107251618,-0.00350142862498145,0.00425225492957907
19,0.000522454533926744,0.00198432389708265,65,0.263290955017401,-0.00146186936315591,0.0025067784310094,-0.00274175827677422,0.00378666734462771,-0.00336682030435526,0.00441172937220875
20,0.00147036129640135,0.00181412438865372,64,0.810507430249874,-0.00034376309225237,0.00328448568505507,-0.00151387332293402,0.00445459591573673,-0.00208532250535994,0.00502604509816265
21,0.000631140706756193,0.00192558361226943,63,0.327765931707505,-0.00129444290551324,0.00255672431902563,-0.00253644433542702,0.00379872574893941,-0.00314300317329189,0.00440528458680428
22,0.00183945453619924,0.00181296445732428,62,1.01461147170754,2.64900788749629e-05,0.00365241899352352,-0.0011428719960992,0.00482178106849769,-0.00171395580015635,0.00539286487255483
23,0.00136528351208185,0.00204294346171514,61,0.66829236230338,-0.000677659949633285,0.00340822697379699,-0.00199535848243955,0.00472592550660326,-0.00263888567287982,0.00536945269704353
24,0.00193796652183538,0.00236602543339316,60,0.819081018523166,-0.000428058911557775,0.00430399195522854,-0.00195414531609636,0.00583007835976713,-0.00269944332761521,0.00657537637128598
