"h","coef","se","n","t_stat","lo68","hi68","lo90","hi90","lo95","hi95"
0,0.000204253336108446,0.00035857620139882,180,0.569623235763125,-0.000154322865290374,0.000562829537507265,-0.000385604515192613,0.000794111187409504,-0.000498556018633241,0.000907062690850132
1,0.000502110952960069,0.000607182958688937,179,0.826951655633179,-0.000105072005728868,0.00110929391164901,-0.000496705014083233,0.00150092692000337,-0.000687967646070248,0.00169218955199039
2,0.00081899702204145,0.00081980575420288,178,0.999013507581175,-8.08732161430045e-07,0.00163880277624433,-0.000529583443622288,0.00216757748770519,-0.000787822256196195,0.0024258163002791
3,0.00105086850840927,0.000912014342538225,177,1.15224998050425,0.000138854165871042,0.00196288285094749,-0.000449395085066113,0.00255113210188465,-0.000736679602965654,0.00283841661978419
4,0.00160941708683482,0.00113049966525794,176,1.42363340414401,0.000478917421576881,0.00273991675209276,-0.000250254862514489,0.00346908903618413,-0.00060636225707074,0.00382519643074038
5,0.00170623558567005,0.00103556672771523,175,1.64763461398043,0.000670668857954826,0.00274180231338528,2.72831857850409e-06,0.0034097428527616,-0.000323475200651793,0.0037359463719919
6,0.00216359300690726,0.00101330778326467,174,2.13517851401141,0.00115028522364259,0.00317690079017193,0.000496701703436871,0.00383048431037765,0.000177509751708499,0.00414967626210602
7,0.00180500362556211,0.00102815409461945,173,1.75557694610961,0.000776849530942658,0.00283315772018157,0.000113690139913111,0.00349631711121111,-0.000210178399892017,0.00382018565101624
8,0.00172709917879169,0.00124028224412313,172,1.39250496165309,0.000486816934668555,0.00296738142291482,-0.000313165112790865,0.00376736347037424,-0.000703854019689652,0.00415805237727303
9,0.00166198517700858,0.00114158513002641,171,1.45585741553075,0.000520400046982174,0.002803570307035,-0.000215922361884861,0.00353989271590203,-0.000575521677843181,0.00389949203186035
10,0.00205307459735603,0.00117699616531805,170,1.74433414300993,0.00087607843203798,0.00323007076267407,0.00011691590540784,0.00398923328930421,-0.000253837886667344,0.0043599870813794
11,0.00172462537168832,0.00106710815302254,169,1.61616736485744,0.000657517218665785,0.00279173352471086,-3.07675400337522e-05,0.0034800182834104,-0.000366906608235852,0.0038161573516125
12,0.00166879848743137,0.00112339556098514,168,1.48549499872329,0.000545402926446232,0.00279219404841651,-0.000179187210389181,0.00351678418525192,-0.000533056812099499,0.00387065378696224
13,0.00136780391851813,0.00121502190569554,167,1.12574424552052,0.000152782012822589,0.00258282582421367,-0.000630907116351033,0.00336651495338729,-0.00101363901664513,0.00374924685368138
14,0.0014191560773962,0.00130949048698561,166,1.0837467637226,0.000109665590410581,0.00272864656438181,-0.00073495577369514,0.00357326792848753,-0.00114744527709561,0.003985757431888
15,0.00103185592553594,0.00149655664645119,165,0.689486714707923,-0.000464700720915252,0.00252841257198713,-0.00142997975787627,0.00349369160894814,-0.00190139510150839,0.00396510695258027
16,0.00141270477756898,0.00156215759208048,164,0.904329233318603,-0.000149452814511504,0.00297486236964946,-0.00115704446140342,0.00398245401654138,-0.00164912410290877,0.00447453365804673
17,0.00152366397940711,0.00164912127768547,163,0.923924759218172,-0.000125457298278359,0.00317278525709258,-0.00118914052238549,0.00423646848119971,-0.00170861372485641,0.00475594168367063
18,0.0014930102026279,0.00160454390966702,162,0.930488840868017,-0.000111533707039118,0.00309755411229491,-0.00114646452877434,0.00413248493403014,-0.00165189586031945,0.00463791626557525
19,0.0014169160972681,0.00147535065120019,161,0.960392769078619,-5.84345539320966e-05,0.00289226674846829,-0.00101003572395622,0.00384386791849242,-0.00147477117908428,0.00430860337362048
20,0.00155372009227749,0.00146609680073289,160,1.05976637524944,8.76232915446042e-05,0.00301981689301038,-0.000858009144928108,0.00396544932948309,-0.00131982963715897,0.00442726982171395
21,0.0017247613192922,0.00163451610961995,159,1.0552121873508,9.02452096722432e-05,0.00335927742891215,-0.000964017681032626,0.00441354031961702,-0.00147889025556291,0.0049284128941473
22,0.00205502418702854,0.00172574928745789,158,1.19080112155555,0.000329274899570649,0.00378077347448642,-0.000783833390839688,0.00489388176489676,-0.00132744441638892,0.00543749279044599
23,0.00204074179221755,0.00183857317377013,157,1.109959517158,0.000202168618447417,0.00387931496598769,-0.00098371107863432,0.00506519466306942,-0.00156286162837191,0.00564434521280702
24,0.0020246860787836,0.00183662869887086,156,1.10239270464866,0.000188057379912744,0.00386131477765446,-0.000996568130858961,0.00504594028842617,-0.00157510617100328,0.00562447832857049
