"lb","ub","method","Delta","Mbar"
0.00541633595359287,0.0474471029534735,"C-LF","DeltaRM",0
-0.0114826322216169,0.0695457536441324,"C-LF","DeltaRM",0.5
-0.031848055407126,0.093377631839941,"C-LF","DeltaRM",1
-0.0552466267266472,0.118942737540899,"C-LF","DeltaRM",1.5
-0.0803784255513181,0.145374456994432,"C-LF","DeltaRM",2
