hs6,bec4,bec_description,is_capital
440392,21,Primary,FALSE
440399,21,Primary,FALSE
440410,21,Primary,FALSE
440420,21,Primary,FALSE
441112,21,Primary,FALSE
441113,21,Primary,FALSE
441114,21,Primary,FALSE
441192,21,Primary,FALSE
441193,21,Primary,FALSE
441194,21,Primary,FALSE
450110,21,Primary,FALSE
450190,21,Primary,FALSE
450200,21,Primary,FALSE
470710,21,Primary,FALSE
470720,21,Primary,FALSE
470730,21,Primary,FALSE
470790,21,Primary,FALSE
500100,21,Primary,FALSE
500300,21,Primary,FALSE
510111,21,Primary,FALSE
510119,21,Primary,FALSE
510121,21,Primary,FALSE
510129,21,Primary,FALSE
510130,21,Primary,FALSE
510211,21,Primary,FALSE
510219,21,Primary,FALSE
510220,21,Primary,FALSE
510310,21,Primary,FALSE
510320,21,Primary,FALSE
510330,21,Primary,FALSE
510400,21,Primary,FALSE
520100,21,Primary,FALSE
520210,21,Primary,FALSE
520291,21,Primary,FALSE
520299,21,Primary,FALSE
530110,21,Primary,FALSE
530130,21,Primary,FALSE
530210,21,Primary,FALSE
530290,21,Primary,FALSE
530310,21,Primary,FALSE
530390,21,Primary,FALSE
530500,21,Primary,FALSE
550510,21,Primary,FALSE
550520,21,Primary,FALSE
630900,21,Primary,FALSE
631010,21,Primary,FALSE
631090,21,Primary,FALSE
710110,21,Primary,FALSE
710121,21,Primary,FALSE
710122,21,Primary,FALSE
710210,21,Primary,FALSE
710221,21,Primary,FALSE
710229,21,Primary,FALSE
710231,21,Primary,FALSE
710310,21,Primary,FALSE
710510,21,Primary,FALSE
710590,21,Primary,FALSE
711230,21,Primary,FALSE
711291,21,Primary,FALSE
711292,21,Primary,FALSE
711299,21,Primary,FALSE
720410,21,Primary,FALSE
720421,21,Primary,FALSE
720429,21,Primary,FALSE
720430,21,Primary,FALSE
720441,21,Primary,FALSE
720449,21,Primary,FALSE
720450,21,Primary,FALSE
740400,21,Primary,FALSE
750300,21,Primary,FALSE
760200,21,Primary,FALSE
780200,21,Primary,FALSE
790200,21,Primary,FALSE
800200,21,Primary,FALSE
810420,21,Primary,FALSE
890800,21,Primary,FALSE
110811,22,Processed,FALSE
110812,22,Processed,FALSE
110813,22,Processed,FALSE
110814,22,Processed,FALSE
110819,22,Processed,FALSE
110820,22,Processed,FALSE
130231,22,Processed,FALSE
130232,22,Processed,FALSE
130239,22,Processed,FALSE
150100,22,Processed,FALSE
150200,22,Processed,FALSE
150300,22,Processed,FALSE
150410,22,Processed,FALSE
150500,22,Processed,FALSE
150600,22,Processed,FALSE
151110,22,Processed,FALSE
151211,22,Processed,FALSE
151219,22,Processed,FALSE
151311,22,Processed,FALSE
151321,22,Processed,FALSE
151411,22,Processed,FALSE
151491,22,Processed,FALSE
151511,22,Processed,FALSE
151519,22,Processed,FALSE
151521,22,Processed,FALSE
151530,22,Processed,FALSE
151590,22,Processed,FALSE
151800,22,Processed,FALSE
152000,22,Processed,FALSE
152110,22,Processed,FALSE
152190,22,Processed,FALSE
220710,22,Processed,FALSE
220720,22,Processed,FALSE
230110,22,Processed,FALSE
230120,22,Processed,FALSE
230400,22,Processed,FALSE
230500,22,Processed,FALSE
230610,22,Processed,FALSE
230620,22,Processed,FALSE
230630,22,Processed,FALSE
230641,22,Processed,FALSE
230649,22,Processed,FALSE
230650,22,Processed,FALSE
230660,22,Processed,FALSE
230690,22,Processed,FALSE
230910,22,Processed,FALSE
230990,22,Processed,FALSE
252020,22,Processed,FALSE
252210,22,Processed,FALSE
252220,22,Processed,FALSE
252230,22,Processed,FALSE
252310,22,Processed,FALSE
252321,22,Processed,FALSE
252329,22,Processed,FALSE
252330,22,Processed,FALSE
252390,22,Processed,FALSE
270600,22,Processed,FALSE
270710,22,Processed,FALSE
270720,22,Processed,FALSE
270730,22,Processed,FALSE
270740,22,Processed,FALSE
270750,22,Processed,FALSE
270791,22,Processed,FALSE
270799,22,Processed,FALSE
270810,22,Processed,FALSE
270820,22,Processed,FALSE
271210,22,Processed,FALSE
271220,22,Processed,FALSE
271290,22,Processed,FALSE
271311,22,Processed,FALSE
271312,22,Processed,FALSE
271320,22,Processed,FALSE
271390,22,Processed,FALSE
271500,22,Processed,FALSE
280110,22,Processed,FALSE
280120,22,Processed,FALSE
280130,22,Processed,FALSE
280200,22,Processed,FALSE
280300,22,Processed,FALSE
280410,22,Processed,FALSE
280421,22,Processed,FALSE
280429,22,Processed,FALSE
280430,22,Processed,FALSE
280440,22,Processed,FALSE
280450,22,Processed,FALSE
280461,22,Processed,FALSE
280469,22,Processed,FALSE
280470,22,Processed,FALSE
280480,22,Processed,FALSE
280490,22,Processed,FALSE
280511,22,Processed,FALSE
280512,22,Processed,FALSE
280519,22,Processed,FALSE
280530,22,Processed,FALSE
280540,22,Processed,FALSE
280610,22,Processed,FALSE
280620,22,Processed,FALSE
280700,22,Processed,FALSE
280800,22,Processed,FALSE
280910,22,Processed,FALSE
280920,22,Processed,FALSE
281000,22,Processed,FALSE
281111,22,Processed,FALSE
281119,22,Processed,FALSE
281121,22,Processed,FALSE
281122,22,Processed,FALSE
281129,22,Processed,FALSE
281210,22,Processed,FALSE
281290,22,Processed,FALSE
281310,22,Processed,FALSE
281390,22,Processed,FALSE
281410,22,Processed,FALSE
281420,22,Processed,FALSE
281511,22,Processed,FALSE
281512,22,Processed,FALSE
281520,22,Processed,FALSE
281530,22,Processed,FALSE
281610,22,Processed,FALSE
281640,22,Processed,FALSE
281700,22,Processed,FALSE
281810,22,Processed,FALSE
281820,22,Processed,FALSE
281830,22,Processed,FALSE
281910,22,Processed,FALSE
281990,22,Processed,FALSE
282010,22,Processed,FALSE
282090,22,Processed,FALSE
282110,22,Processed,FALSE
282120,22,Processed,FALSE
282200,22,Processed,FALSE
282300,22,Processed,FALSE
282410,22,Processed,FALSE
282490,22,Processed,FALSE
282510,22,Processed,FALSE
282520,22,Processed,FALSE
282530,22,Processed,FALSE
282540,22,Processed,FALSE
282550,22,Processed,FALSE
282560,22,Processed,FALSE
282570,22,Processed,FALSE
282580,22,Processed,FALSE
282590,22,Processed,FALSE
282612,22,Processed,FALSE
282619,22,Processed,FALSE
282630,22,Processed,FALSE
282690,22,Processed,FALSE
282710,22,Processed,FALSE
282720,22,Processed,FALSE
282731,22,Processed,FALSE
282732,22,Processed,FALSE
282735,22,Processed,FALSE
282739,22,Processed,FALSE
282741,22,Processed,FALSE
282749,22,Processed,FALSE
282751,22,Processed,FALSE
282759,22,Processed,FALSE
282760,22,Processed,FALSE
282810,22,Processed,FALSE
282890,22,Processed,FALSE
282911,22,Processed,FALSE
282919,22,Processed,FALSE
282990,22,Processed,FALSE
283010,22,Processed,FALSE
283090,22,Processed,FALSE
283110,22,Processed,FALSE
283190,22,Processed,FALSE
283210,22,Processed,FALSE
283220,22,Processed,FALSE
283230,22,Processed,FALSE
283311,22,Processed,FALSE
283319,22,Processed,FALSE
283321,22,Processed,FALSE
283322,22,Processed,FALSE
283324,22,Processed,FALSE
283325,22,Processed,FALSE
283327,22,Processed,FALSE
283329,22,Processed,FALSE
283330,22,Processed,FALSE
283340,22,Processed,FALSE
283410,22,Processed,FALSE
283421,22,Processed,FALSE
283429,22,Processed,FALSE
283510,22,Processed,FALSE
283522,22,Processed,FALSE
283524,22,Processed,FALSE
283525,22,Processed,FALSE
283526,22,Processed,FALSE
283529,22,Processed,FALSE
283531,22,Processed,FALSE
283539,22,Processed,FALSE
283620,22,Processed,FALSE
283630,22,Processed,FALSE
283640,22,Processed,FALSE
283650,22,Processed,FALSE
283660,22,Processed,FALSE
283691,22,Processed,FALSE
283692,22,Processed,FALSE
283699,22,Processed,FALSE
283711,22,Processed,FALSE
283719,22,Processed,FALSE
283720,22,Processed,FALSE
283911,22,Processed,FALSE
283919,22,Processed,FALSE
283990,22,Processed,FALSE
284011,22,Processed,FALSE
284019,22,Processed,FALSE
284020,22,Processed,FALSE
284030,22,Processed,FALSE
284130,22,Processed,FALSE
284150,22,Processed,FALSE
284161,22,Processed,FALSE
284169,22,Processed,FALSE
284170,22,Processed,FALSE
284180,22,Processed,FALSE
284190,22,Processed,FALSE
284210,22,Processed,FALSE
284290,22,Processed,FALSE
284310,22,Processed,FALSE
284321,22,Processed,FALSE
284329,22,Processed,FALSE
284330,22,Processed,FALSE
284390,22,Processed,FALSE
284410,22,Processed,FALSE
284420,22,Processed,FALSE
284430,22,Processed,FALSE
284440,22,Processed,FALSE
284450,22,Processed,FALSE
284510,22,Processed,FALSE
284590,22,Processed,FALSE
284610,22,Processed,FALSE
284690,22,Processed,FALSE
284700,22,Processed,FALSE
284800,22,Processed,FALSE
284910,22,Processed,FALSE
284920,22,Processed,FALSE
284990,22,Processed,FALSE
285000,22,Processed,FALSE
285200,22,Processed,FALSE
285300,22,Processed,FALSE
290110,22,Processed,FALSE
290121,22,Processed,FALSE
290122,22,Processed,FALSE
290123,22,Processed,FALSE
290124,22,Processed,FALSE
290129,22,Processed,FALSE
290211,22,Processed,FALSE
290219,22,Processed,FALSE
290220,22,Processed,FALSE
290230,22,Processed,FALSE
290241,22,Processed,FALSE
290242,22,Processed,FALSE
290243,22,Processed,FALSE
290244,22,Processed,FALSE
290250,22,Processed,FALSE
290260,22,Processed,FALSE
290270,22,Processed,FALSE
290290,22,Processed,FALSE
290311,22,Processed,FALSE
290312,22,Processed,FALSE
290313,22,Processed,FALSE
290314,22,Processed,FALSE
290315,22,Processed,FALSE
290319,22,Processed,FALSE
290321,22,Processed,FALSE
290322,22,Processed,FALSE
290323,22,Processed,FALSE
290329,22,Processed,FALSE
290331,22,Processed,FALSE
290339,22,Processed,FALSE
290341,22,Processed,FALSE
290342,22,Processed,FALSE
290343,22,Processed,FALSE
290344,22,Processed,FALSE
290345,22,Processed,FALSE
290346,22,Processed,FALSE
290347,22,Processed,FALSE
290349,22,Processed,FALSE
290351,22,Processed,FALSE
290352,22,Processed,FALSE
290359,22,Processed,FALSE
290361,22,Processed,FALSE
290362,22,Processed,FALSE
290369,22,Processed,FALSE
290410,22,Processed,FALSE
290420,22,Processed,FALSE
290490,22,Processed,FALSE
290511,22,Processed,FALSE
290512,22,Processed,FALSE
290513,22,Processed,FALSE
290514,22,Processed,FALSE
290516,22,Processed,FALSE
290517,22,Processed,FALSE
290519,22,Processed,FALSE
290522,22,Processed,FALSE
290529,22,Processed,FALSE
290531,22,Processed,FALSE
290532,22,Processed,FALSE
290539,22,Processed,FALSE
290541,22,Processed,FALSE
290542,22,Processed,FALSE
290543,22,Processed,FALSE
290544,22,Processed,FALSE
290545,22,Processed,FALSE
290549,22,Processed,FALSE
290551,22,Processed,FALSE
290559,22,Processed,FALSE
290611,22,Processed,FALSE
290612,22,Processed,FALSE
290613,22,Processed,FALSE
290619,22,Processed,FALSE
290621,22,Processed,FALSE
290629,22,Processed,FALSE
290711,22,Processed,FALSE
290712,22,Processed,FALSE
290713,22,Processed,FALSE
290715,22,Processed,FALSE
290719,22,Processed,FALSE
290721,22,Processed,FALSE
290722,22,Processed,FALSE
290723,22,Processed,FALSE
290729,22,Processed,FALSE
290811,22,Processed,FALSE
290819,22,Processed,FALSE
290891,22,Processed,FALSE
290899,22,Processed,FALSE
290911,22,Processed,FALSE
290919,22,Processed,FALSE
290920,22,Processed,FALSE
290930,22,Processed,FALSE
290941,22,Processed,FALSE
290943,22,Processed,FALSE
290944,22,Processed,FALSE
290949,22,Processed,FALSE
290950,22,Processed,FALSE
290960,22,Processed,FALSE
291010,22,Processed,FALSE
291020,22,Processed,FALSE
291030,22,Processed,FALSE
291040,22,Processed,FALSE
291090,22,Processed,FALSE
291100,22,Processed,FALSE
291211,22,Processed,FALSE
291212,22,Processed,FALSE
291219,22,Processed,FALSE
291221,22,Processed,FALSE
291229,22,Processed,FALSE
291230,22,Processed,FALSE
291241,22,Processed,FALSE
291242,22,Processed,FALSE
291249,22,Processed,FALSE
291250,22,Processed,FALSE
291260,22,Processed,FALSE
291300,22,Processed,FALSE
291411,22,Processed,FALSE
291412,22,Processed,FALSE
291413,22,Processed,FALSE
291419,22,Processed,FALSE
291421,22,Processed,FALSE
291422,22,Processed,FALSE
291423,22,Processed,FALSE
291429,22,Processed,FALSE
291431,22,Processed,FALSE
291439,22,Processed,FALSE
291440,22,Processed,FALSE
291450,22,Processed,FALSE
291461,22,Processed,FALSE
291469,22,Processed,FALSE
291470,22,Processed,FALSE
291511,22,Processed,FALSE
291512,22,Processed,FALSE
291513,22,Processed,FALSE
291521,22,Processed,FALSE
291524,22,Processed,FALSE
291529,22,Processed,FALSE
291531,22,Processed,FALSE
291532,22,Processed,FALSE
291533,22,Processed,FALSE
291536,22,Processed,FALSE
291539,22,Processed,FALSE
291540,22,Processed,FALSE
291550,22,Processed,FALSE
291560,22,Processed,FALSE
291570,22,Processed,FALSE
291590,22,Processed,FALSE
291611,22,Processed,FALSE
291612,22,Processed,FALSE
291613,22,Processed,FALSE
291614,22,Processed,FALSE
291615,22,Processed,FALSE
291619,22,Processed,FALSE
291620,22,Processed,FALSE
291631,22,Processed,FALSE
291632,22,Processed,FALSE
291634,22,Processed,FALSE
291635,22,Processed,FALSE
291636,22,Processed,FALSE
291639,22,Processed,FALSE
291711,22,Processed,FALSE
291712,22,Processed,FALSE
291713,22,Processed,FALSE
291714,22,Processed,FALSE
291719,22,Processed,FALSE
291720,22,Processed,FALSE
291732,22,Processed,FALSE
291733,22,Processed,FALSE
