version,treat_year,norm_year,year,mean_share,median_share,n_cells,ci_lo,ci_hi
treat_2008,2008,2007,2005,2.02798095481876,0.999243277368582,4011,1.57450570185988,2.75206937051788
treat_2008,2008,2007,2006,0.967710900780051,0.998087477796076,4336,0.950025844496761,0.984066503440675
treat_2008,2008,2007,2007,1.03222963494883,1.00179843806203,4344,1.01414455059051,1.04775421780056
treat_2008,2008,2007,2008,2.56606035903376,0.9981517192249,4091,1.6337906164958,4.32532195540104
treat_2008,2008,2007,2009,4.22901041724522,0.92048959040346,3830,1.70783652218873,7.47743889293205
treat_2008,2008,2007,2010,4.71035849986773,0.901695733137698,3597,2.19332506870623,8.077695458487
treat_2008,2008,2007,2011,4.19333926909637,0.807531599650045,3399,1.80750536556568,7.56464694587133
treat_2008,2008,2007,2012,5.27564831310679,0.696132031777257,3297,1.8162513940529,9.68316108547623
treat_2008,2008,2007,2013,2.86112112032881,0.564366290547226,3185,1.33180244184084,5.31605887996508
treat_2008,2008,2007,2014,5.05996677797299,0.51643814979647,3081,1.41549186939198,9.39811531190427
treat_2008,2008,2007,2015,2.41888443627982,0.337447203458622,2893,1.14953371827479,4.49773576211558
treat_2008,2008,2007,2016,4.2741509727484,0.160571230096413,2749,1.30359953412843,8.04856231194689
treat_2008,2008,2007,2017,3.82858787492718,0.143683785678837,2652,1.41027263892107,7.13864657941012
treat_2008,2008,2007,2018,4.70085559870229,0.149218261753415,2530,1.59072382662553,9.38054960719207
treat_2008,2008,2007,2019,3.39200404087831,0.065912117114609,2437,1.37137223833672,6.39589489548855
treat_2008,2008,2007,2020,5.66412316698448,0.045186756854466,2282,2.15673599235618,10.5932723062101
treat_2008,2008,2007,2021,4.0334301566723,0.0440013129733778,2170,1.65534675149086,7.64571387477141
treat_2008,2008,2007,2022,4.13718025306019,0.0254153715911605,2105,1.76068263001083,7.96082924063843
treat_2013,2013,2012,2005,1.35033274218795,0.35549124401682,536,0.735020035806068,2.16211850328543
treat_2013,2013,2012,2006,1.04341871030782,0.449855532041345,563,0.814890163979774,1.33734740852869
treat_2013,2013,2012,2007,2.38276311456969,0.729381811398002,603,1.44695381329195,3.52050653159831
treat_2013,2013,2012,2008,2.53425032527559,0.821583333654457,602,1.38528729493202,4.16435837519296
treat_2013,2013,2012,2009,1.50442049659204,0.965925302765117,696,1.1827290637378,1.86093516037392
treat_2013,2013,2012,2010,2.04037568805602,0.99580820605667,737,1.30851800926552,3.27447862826717
treat_2013,2013,2012,2011,0.985835212639187,1,785,0.950217965533728,1.01934832383858
treat_2013,2013,2012,2012,1.01427388713509,1,779,0.980378006641652,1.04714648275053
treat_2013,2013,2012,2013,1.18273389409293,0.898558663187486,728,0.948028208891578,1.52705137487609
treat_2013,2013,2012,2014,2.37273991772564,0.846063543413059,687,1.16548902440917,3.94159354126099
treat_2013,2013,2012,2015,1.55505099657844,0.887725467513654,649,1.22508351204437,1.95421865031017
treat_2013,2013,2012,2016,2.10962312137632,0.82710824915802,632,1.1988497998194,3.59045650790481
treat_2013,2013,2012,2017,2.30392085741604,0.790374508817669,606,1.26772985134068,3.94476684726567
treat_2013,2013,2012,2018,1.71477229480492,0.796901685883013,575,1.23941529842144,2.26654127224678
treat_2013,2013,2012,2019,1.70874405369395,0.73225276217046,552,1.15934503525808,2.42505898513843
treat_2013,2013,2012,2020,2.64990929013259,0.787057845272023,525,1.54837964674024,4.00801519312727
treat_2013,2013,2012,2021,2.44807898179841,0.699562932663526,506,1.4428395596703,3.61153816654218
treat_2013,2013,2012,2022,3.16781685120817,0.770255126774565,477,1.90034724605497,4.78852155154443
treat_2017,2017,2016,2005,8.06181864432342,0,3924,4.33392943737619,13.1445957791564
treat_2017,2017,2016,2006,8.62274797945608,0,4578,3.59300310470035,15.6526976462134
treat_2017,2017,2016,2007,8.69172850583001,0,4406,3.71666675422808,15.2027856562437
treat_2017,2017,2016,2008,6.21055369857254,0,4822,2.88325737163578,10.7605771435326
treat_2017,2017,2016,2009,9.13035357207413,0,5323,2.85337475724473,20.8010937651187
treat_2017,2017,2016,2010,8.12380629351797,0,5379,2.22945529160012,19.02048139726
treat_2017,2017,2016,2011,8.01383294869758,0,5749,2.34579350944331,19.0164654655437
treat_2017,2017,2016,2012,2.26066176921775,0.154891492013665,6405,1.78699002876161,2.85010683696042
treat_2017,2017,2016,2013,2.09063133471519,0.320901169896066,6671,1.66280889120568,2.62920413161885
treat_2017,2017,2016,2014,2.20867237365334,0.506405749533141,7052,1.49215552525652,3.2920248468413
treat_2017,2017,2016,2015,0.945830172890519,0.996712455639498,7796,0.932035676414306,0.959839562826868
treat_2017,2017,2016,2016,1.05317400807675,1.00112451166382,7942,1.0384542765559,1.0659685092389
treat_2017,2017,2016,2017,2.07922011056164,0.988145522703607,7280,1.67752374273693,2.59571227798412
treat_2017,2017,2016,2018,2.98363490038686,0.977715690717778,6918,2.34901992296771,3.75775271090095
treat_2017,2017,2016,2019,2.9937598792482,0.947150437294262,6560,2.4674000972693,3.67882291523544
treat_2017,2017,2016,2020,3.16685943021752,0.86732984600542,6162,2.53382597840634,3.9711564187328
treat_2017,2017,2016,2021,6.11576537418408,0.795569206774956,5919,2.82349643654767,12.0152046280468
treat_2017,2017,2016,2022,7.65815586236797,0.810652199915651,5622,4.63108046322909,11.343476696698
