year,est,se,tval,pval
2000,-0.0181750242140996,0.0598175971488614,-0.303840760585375,0.761720498176464
2001,-0.0529685490467689,0.0584750627779678,-0.905831418221691,0.366650970997383
2002,-0.103437807212301,0.0569027603541177,-1.81779946295375,0.0713286540836285
2003,-0.118404997430999,0.057599137157528,-2.05567311029631,0.0417558408104379
2004,-0.0473649377962639,0.054711101768572,-0.865728092931077,0.388186643097829
2005,0.081911368171579,0.0981568001151113,0.834495094333955,0.405487293121884
2006,-0.0193122037446968,0.0434077468155421,-0.44490223891976,0.657108217041944
2007,-0.00126374382494607,0.0421434624354168,-0.0299867109135303,0.976122267481013
2008,0.0639003223791808,0.0506832551298507,1.26077778973485,0.209579727445371
2009,0.0161368720954891,0.0387730479432695,0.416187866352413,0.677938359303172
2010,0.0614929418861708,0.036190129521085,1.69916335475793,0.0916088308682253
2011,0.073837642683144,0.0380762058511078,1.93920694125557,0.054577652410611
2012,0.0773336764116207,0.0464762203886983,1.66394073710921,0.0984611378061327
2013,-0.0251252401739495,0.0310555472164668,-0.809041940198923,0.419925196774328
2015,0.0112381532074364,0.0301472380536554,0.372775548706485,0.709904481675558
2016,-0.0732663514742742,0.0506633389688895,-1.4461413907059,0.150472484907953
2017,0.205889120091589,0.0853173284057709,2.41321574337603,0.0171646590132066
2018,0.100775882739367,0.0739844420332415,1.36212262970218,0.175444514936035
2019,0.12416737286693,0.0700684229857065,1.77208744789731,0.0786527119385973
2020,0.0655687986213791,0.0937713217847921,0.699241488478336,0.485613094163767
2021,0.0630237120807488,0.10495240383061,0.600498033208151,0.549188650741864
2022,0.155221180808222,0.0840897851656777,1.84589817303491,0.0671138432439628
