term,est,se,tval,pval,spec
pair_exposure_EU:post,-0.01634615709803,0.0295811759082035,-0.552586453924467,0.580835084390824,naive (no trend control)
pair_exposure_EU:post,-0.559507136051822,0.0293281228654152,-19.0774956385502,3.64048451956972e-59,trend-corrected
pair_exposure_EU:year_centered,0.0581731855929964,0.00216546823672995,26.8640216495824,7.11752046858206e-94,trend-corrected
pair_exposure_EU:post,-0.251270961543443,0.02786309457288,-9.01805651508691,6.81990492728072e-18,shorter pre-period (2010+)
pair_exposure_EU:post,-0.097441317128626,0.0353000837581199,-2.76037070609534,0.00602582398121112,shorter + trend
pair_exposure_EU:year_centered,-0.0260087865815097,0.00507991541967642,-5.11992512331365,4.65948877261588e-07,shorter + trend
