interval,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,895620,2.02024854290882,1,1,1,2,4,16,560,0.682495924610884,0.157218463187513,0.107559009401309,0.0333846944016436,0.0193419083986512,0.317504075389116
interval_2011_12,852450,2.20450231685143,1,1,1,2,4,18,1332,0.659209337791073,0.15865915889495,0.120784796762273,0.0372444131620623,0.0241022933896416,0.340790662208927
interval_2015_16,906299,2.12533611975739,1,1,1,2,4,17,1321,0.676567004928837,0.155079063311335,0.111426802854246,0.0344555163362202,0.0224716125693618,0.323432995071163
