spec,term,estimate,se,tval,pval
col1,treat_p1,-0.0125818135415142,0.00714972048104777,-1.75976299701024,0.0798701569327961
col1,treat_p2,-0.0345204880449698,0.012060456781582,-2.86228694900573,0.00462168473283158
col1,treat_p3,-0.029257924811079,0.0148481489645994,-1.97047624460362,0.0500671843763751
col1,treat_yearc,0.00266772740975426,0.000921058637813686,2.89637087176842,0.00416513444441663
col2,treat_p1,-0.0125818135400363,0.0071497218080425,-1.75976267018997,0.0798702125208554
col2,treat_p2,-0.034520488043126,0.0120604555318824,-2.86228724544189,0.00462168057100409
col2,treat_p3,-0.0292579248083962,0.0148481506118833,-1.97047602581432,0.050067209609049
col2,treat_yearc,0.00266772740958351,0.000921058476359805,2.89637137929273,0.00416512796434037
col3,treat_p1,-0.0132686630413433,0.00732094575597906,-1.81242471718995,0.0714053449191037
col3,treat_p2,-0.0349589783966249,0.0122192698525591,-2.86097113972021,0.00466767093399497
col3,treat_p3,-0.0305999305461351,0.0155521937384994,-1.96756361582515,0.0504869520836281
col3,treat_yearc,0.00268875534370195,0.000943506490222135,2.84974758686495,0.00482885914151722
col4,treat_p1,-0.00926100358925884,0.00673364629440122,-1.37533264807197,0.170459650984701
col4,treat_p2,-0.022297109301663,0.0130441853258616,-1.70935238534647,0.0888285713801023
col4,treat_p3,-0.0145379980615233,0.0147806998789842,-0.983579815607648,0.326427696672914
col4,treat_yearc,0.00170262633578634,0.00085979769403682,1.9802639011421,0.0489490783592286
col5,treat_p1,-0.0121146113962498,0.00766587677456274,-1.58032952426904,0.115595984938951
col5,treat_p2,-0.0279724551082201,0.0146622652569569,-1.90778536726771,0.0578373128757571
col5,treat_p3,-0.0208349137936302,0.017046217931226,-1.22226020327148,0.223033524609952
col5,treat_yearc,0.0017848984584677,0.000894497701787319,1.99541983719047,0.0473408149426342
col6,treat_p1,-0.0139049990756493,0.00728047677748503,-1.90990226335873,0.0574767214018446
col6,treat_p2,-0.0356461255752865,0.0119155957764997,-2.99155210061664,0.00309969102387451
col6,treat_p3,-0.0314724802906217,0.0149629841750738,-2.10335584950028,0.0365974371444243
col6,treat_yearc,0.00268409872719583,0.000922876733680479,2.90840437215435,0.00401405380567604
