spec,n,beta,se,ci_lo,ci_hi,sigma,sigma_lo,sigma_hi,f_stat
IV: relative-price form (headline),1925,13.5401223503807,26.6225274675723,-38.6400314860611,65.7202761868225,-12.5401223503807,-64.7202761868225,39.6400314860611,1.70224701544449
IV: asymmetric (China-side only),1923,-31.8830850512465,111.548822956903,-250.518778046776,186.752607944283,32.8830850512465,-185.752607944283,251.518778046776,
Reduced form (outcome on IV),1925,3.96380283421513,0.782454172364099,2.4301926563815,5.49741301204876,,,,
First stage (price-ratio on IV),1925,0.292744979080907,0.574648852157355,-0.833566771147508,1.41905672930932,,,,
