quartile,term,est,se,tval,pval
Q1,pair_exposure_EU:post,-0.229400908159838,0.24048779640499,-0.953898333258951,0.342101746505448
Q2,pair_exposure_EU:post,0.0451255944460799,0.148678090555959,0.303512066084112,0.762004247553837
Q3,pair_exposure_EU:post,-0.0660283541574014,0.421528769768908,-0.156640207959233,0.875812960905795
Q4,pair_exposure_EU:post,-1.83516216459009,3.01120507728922,-0.609444430879535,0.543318664728203
all,pair_exposure_EU:post,-0.01634615709803,0.0295811759082035,-0.552586453924467,0.580835084390824
