spec,n,beta,se,ci_lo,ci_hi,sigma,sigma_lo,sigma_hi,f_stat
Pooled w/ interaction (high),1925,35.6611763463902,290.06866663432,-532.873410256877,604.195762949658,-34.6611763463902,-603.195762949658,533.873410256877,0.224127177377442
Pooled w/ interaction (low),1925,1.621874952014,77.5234671821887,-150.324120725076,153.567870629104,-0.621874952013997,-152.567870629104,151.324120725076,0.224127177377442
Separate IV: high-importance,947,18.8378557610251,53.0245555186746,-85.0902730555771,122.765984577627,-17.8378557610251,-121.765984577627,86.0902730555771,0.664402485082091
Separate IV: low-importance,969,7.92462532352474,14.1006323864084,-19.7126141538358,35.5618648008853,-6.92462532352474,-34.5618648008853,20.7126141538358,1.13533890929794
