h,n,beta,se,ci_lo,ci_hi,sigma,sigma_lo,sigma_hi,f_stat
5,2642,-17.7286213106747,31.3844817059432,-79.2422054543233,43.784962832974,18.7286213106747,-42.784962832974,80.2422054543233,1.39824694897954
10,1927,13.8544200309674,27.4038378000425,-39.857102057116,67.5659421190508,-12.8544200309674,-66.5659421190508,40.857102057116,1.68134004792405
15,1380,9.69157079991947,11.1023245576228,-12.0689853330212,31.4521269328601,-8.69157079991947,-30.4521269328601,13.0689853330212,2.60807448982893
20,1098,9.59148496187838,10.739864909041,-11.4586502598419,30.6416201835987,-8.59148496187838,-29.6416201835987,12.4586502598419,2.76606377322987
