h,est,se,tval,pval
-9,-0.373684816477663,0.0446333590956822,-8.37232115280818,8.12511614681278e-16
-8,-0.301196966576966,0.047055939664763,-6.40082779608186,4.06562940165314e-10
-7,-0.243836374249735,0.0511530119327344,-4.76680385058022,2.56922457357463e-06
-6,-0.211598503072587,0.0380448390804904,-5.56181884814691,4.71056680106463e-08
-5,-0.116358838924516,0.0388912618050072,-2.99190187008884,0.00293277196085625
-4,0.00187165690364842,0.038034290059523,0.049209723665653,0.960775117665425
-3,0.0521606547519359,0.0374774407661022,1.39178806465127,0.164709433171381
-2,0.0294510898466405,0.0370187749407359,0.795571703650089,0.426722011799411
0,-0.0218339962857529,0.0301312645862457,-0.724629270811277,0.469075435489409
1,-0.11515763079308,0.0349695844359949,-3.29307976203876,0.00107321550237243
2,-0.174614897703416,0.0348054289724346,-5.01688681503419,7.71204728895739e-07
3,-0.229032970230664,0.0382747941748869,-5.98391121802397,4.60851027445159e-09
4,-0.294948691271449,0.0427618392687218,-6.8974743910791,1.91115232864313e-11
5,-0.271877960621606,0.0378796617458243,-7.17741257685801,3.15953922270686e-12
6,-0.296918414025382,0.0421457712730737,-7.04503453268343,7.45060810410824e-12
7,-0.305809038364245,0.048328782697807,-6.32767931020372,6.28301486680208e-10
