version,treat_year,norm_year,year,mean_raw_share,n_cells,ci_lo,ci_hi
treat_2008,2008,2007,2005,0.4462100463897,4011,0.43405150753658,0.458717687148224
treat_2008,2008,2007,2006,0.418113196251187,4336,0.406106209781649,0.430281842087092
treat_2008,2008,2007,2007,0.446721663696621,4344,0.436040519455526,0.457416897547208
treat_2008,2008,2007,2008,0.443579645589336,4091,0.431619560874753,0.455293098743092
treat_2008,2008,2007,2009,0.427010085481976,3830,0.413444991119833,0.439823057688484
treat_2008,2008,2007,2010,0.418694412443812,3597,0.405417121080902,0.431725502136939
treat_2008,2008,2007,2011,0.398853994376523,3399,0.385437999096638,0.412999244494517
treat_2008,2008,2007,2012,0.380809580217801,3297,0.366960917400086,0.395839699585352
treat_2008,2008,2007,2013,0.371130109466741,3185,0.356062886522471,0.385915751844341
treat_2008,2008,2007,2014,0.366241310329439,3081,0.352181787560066,0.381332414411895
treat_2008,2008,2007,2015,0.35715792869241,2893,0.341776612206812,0.371938545743228
treat_2008,2008,2007,2016,0.353787929645428,2749,0.337638004257876,0.370007284371179
treat_2008,2008,2007,2017,0.353447310353672,2652,0.337876936323718,0.369508300052186
treat_2008,2008,2007,2018,0.359884692662882,2530,0.343642378543117,0.377106396662991
treat_2008,2008,2007,2019,0.35734477949412,2437,0.340021608839412,0.374210545545144
treat_2008,2008,2007,2020,0.354459285662883,2282,0.337269513725868,0.373081704803534
treat_2008,2008,2007,2021,0.36240699203116,2170,0.344557050992484,0.381748947122737
treat_2008,2008,2007,2022,0.366049677708755,2105,0.348652079827904,0.384220455150429
treat_2013,2013,2012,2005,0.308774363943535,536,0.275966680819448,0.344045367096165
treat_2013,2013,2012,2006,0.324654275244534,563,0.294857285885487,0.358166979511567
treat_2013,2013,2012,2007,0.365416953161119,603,0.333220907099087,0.397766632171178
treat_2013,2013,2012,2008,0.377895794460472,602,0.346998015752634,0.409804187804554
treat_2013,2013,2012,2009,0.404625360945663,696,0.37470479404791,0.434078396241155
treat_2013,2013,2012,2010,0.436470247781971,737,0.410531277033558,0.46611545441285
treat_2013,2013,2012,2011,0.436770215084957,785,0.411666245230269,0.464433244518247
treat_2013,2013,2012,2012,0.436559028856528,779,0.411274397722316,0.460555765102495
treat_2013,2013,2012,2013,0.384414615805554,728,0.35763081628536,0.412206160661912
treat_2013,2013,2012,2014,0.376564880198292,687,0.347726263838758,0.407168835535271
treat_2013,2013,2012,2015,0.408015922108409,649,0.3805277508648,0.44116742379474
treat_2013,2013,2012,2016,0.390979943662005,632,0.356065878986621,0.420166263445821
treat_2013,2013,2012,2017,0.389844088765943,606,0.35724889831687,0.421123013876065
treat_2013,2013,2012,2018,0.385634169367736,575,0.353782074975656,0.418787378688848
treat_2013,2013,2012,2019,0.367423957517359,552,0.333366830298219,0.402841943025847
treat_2013,2013,2012,2020,0.37774501395243,525,0.342945915296426,0.410018890601136
treat_2013,2013,2012,2021,0.376878237290332,506,0.340271995018622,0.414409288847241
treat_2013,2013,2012,2022,0.402458153310445,477,0.363489516127101,0.440715349554139
treat_2017,2017,2016,2005,0.227219352054598,3924,0.216264386078627,0.239337242300815
treat_2017,2017,2016,2006,0.20657261990433,4578,0.196242189605353,0.217162039144552
treat_2017,2017,2016,2007,0.249342889491051,4406,0.238508070860101,0.260031252597695
treat_2017,2017,2016,2008,0.218291696975028,4822,0.207909502944339,0.228643555125405
treat_2017,2017,2016,2009,0.253031482286548,5323,0.242400928592325,0.26408586427794
treat_2017,2017,2016,2010,0.218711414621726,5379,0.208694826225721,0.22952024946104
treat_2017,2017,2016,2011,0.261847055662128,5749,0.252076407720032,0.271870083521749
treat_2017,2017,2016,2012,0.272586305671353,6405,0.263193631620247,0.281241823939501
treat_2017,2017,2016,2013,0.276592805470418,6671,0.267285026965716,0.285599691687207
treat_2017,2017,2016,2014,0.278608163707712,7052,0.270462111717613,0.287053899855181
treat_2017,2017,2016,2015,0.377793378002033,7796,0.369147975841301,0.386471155572095
treat_2017,2017,2016,2016,0.431534272716757,7942,0.423476208493641,0.439890794242246
treat_2017,2017,2016,2017,0.415240444642932,7280,0.40531051591316,0.424462261009375
treat_2017,2017,2016,2018,0.418397530840593,6918,0.40925954463553,0.427937969132861
treat_2017,2017,2016,2019,0.404103805012022,6560,0.394180287076611,0.413512684600069
treat_2017,2017,2016,2020,0.392732557345755,6162,0.382127700095705,0.403557906193342
treat_2017,2017,2016,2021,0.378943471079254,5919,0.368600577985941,0.389354407439316
treat_2017,2017,2016,2022,0.395548152314274,5622,0.384115508342875,0.407252194383266
